year,year_max,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2006,2010,SAU,Total,0.00047,,,,
2011,2015,SAU,Total,0.00084,,,,
2016,2020,SAU,Total,0.0055,,,,
2000,2005,SDN,Natural,0.018,,,,
2006,2010,SDN,Natural,0.035,,,,
2011,2015,SDN,Natural,0.035,,,,
2016,2020,SDN,Natural,0.13,,,,
2000,2005,SDN,Planted,0,,,,
2006,2010,SDN,Planted,0,,,,
2011,2015,SDN,Planted,0,,,,
2016,2020,SDN,Planted,0,,,,
2000,2005,SDN,Total,0.018,,,,
2006,2010,SDN,Total,0.035,,,,
2011,2015,SDN,Total,0.035,,,,
2016,2020,SDN,Total,0.13,,,,
2000,2005,SEN,Natural,0.025,,,,
2006,2010,SEN,Natural,0.017,,,,
2011,2015,SEN,Natural,0.0096,,,,
2016,2020,SEN,Natural,0.025,,,,
2000,2005,SEN,Planted,0.000028,,,,
2006,2010,SEN,Planted,0.000049,,,,
2011,2015,SEN,Planted,0.000079,,,,
2016,2020,SEN,Planted,0.000093,,,,
2000,2005,SEN,Total,0.025,,,,
2006,2010,SEN,Total,0.017,,,,
2011,2015,SEN,Total,0.0097,,,,
2016,2020,SEN,Total,0.025,,,,
2000,2005,SGP,Natural,0.00075,,,,
2006,2010,SGP,Natural,0.00048,,,,
2011,2015,SGP,Natural,0.0003,,,,
2016,2020,SGP,Natural,0.00045,,,,
2000,2005,SGP,Planted,0,,,,
2006,2010,SGP,Planted,0,,,,
2011,2015,SGP,Planted,0,,,,
2016,2020,SGP,Planted,0,,,,
2000,2005,SGP,Total,0.00075,,,,
2006,2010,SGP,Total,0.00048,,,,
2011,2015,SGP,Total,0.0003,,,,
2016,2020,SGP,Total,0.00045,,,,
2000,2005,SGS,Natural,0,,,,
2006,2010,SGS,Natural,0,,,,
2011,2015,SGS,Natural,0,,,,
2016,2020,SGS,Natural,0,,,,
2000,2005,SGS,Planted,0,,,,
2006,2010,SGS,Planted,0,,,,
2011,2015,SGS,Planted,0,,,,
2016,2020,SGS,Planted,0,,,,
2000,2005,SGS,Total,0,,,,
2006,2010,SGS,Total,0,,,,
2011,2015,SGS,Total,0,,,,
2016,2020,SGS,Total,0,,,,
2000,2005,SHN,Natural,0,,,,
2006,2010,SHN,Natural,0,,,,
2011,2015,SHN,Natural,0,,,,
2016,2020,SHN,Natural,0,,,,
2000,2005,SHN,Planted,0,,,,
2006,2010,SHN,Planted,0,,,,
2011,2015,SHN,Planted,0,,,,
2016,2020,SHN,Planted,0,,,,
2000,2005,SHN,Total,0,,,,
2006,2010,SHN,Total,0,,,,
2011,2015,SHN,Total,0,,,,
2016,2020,SHN,Total,0,,,,
2000,2005,SJM,Natural,0,,,,
2006,2010,SJM,Natural,0,,,,
2011,2015,SJM,Natural,0,,,,
2016,2020,SJM,Natural,0,,,,
2000,2005,SJM,Planted,0,,,,
2006,2010,SJM,Planted,0,,,,
2011,2015,SJM,Planted,0,,,,
2016,2020,SJM,Planted,0,,,,
2000,2005,SJM,Total,0,,,,
2006,2010,SJM,Total,0,,,,
2011,2015,SJM,Total,0,,,,
2016,2020,SJM,Total,0,,,,
2000,2005,SLB,Natural,0.0031,,,,
2006,2010,SLB,Natural,0.00061,,,,
2011,2015,SLB,Natural,0.00031,,,,
2016,2020,SLB,Natural,0.00046,,,,
2000,2005,SLB,Planted,0.000045,,,,
2006,2010,SLB,Planted,0.000019,,,,
2011,2015,SLB,Planted,0.00037,,,,
2016,2020,SLB,Planted,0.000027,,,,
2000,2005,SLB,Total,0.0031,,,,
2006,2010,SLB,Total,0.00063,,,,
2011,2015,SLB,Total,0.00068,,,,
2016,2020,SLB,Total,0.00049,,,,
2000,2005,SLE,Natural,0.05,,,,
2006,2010,SLE,Natural,0.027,,,,
2011,2015,SLE,Natural,0.009,,,,
2016,2020,SLE,Natural,0.015,,,,
2000,2005,SLE,Planted,0.00079,,,,
2006,2010,SLE,Planted,0.00078,,,,
2011,2015,SLE,Planted,0.00013,,,,
2016,2020,SLE,Planted,0.00063,,,,
2000,2005,SLE,Total,0.05,,,,
2006,2010,SLE,Total,0.027,,,,
2011,2015,SLE,Total,0.0091,,,,
2016,2020,SLE,Total,0.015,,,,
2000,2005,SLV,Natural,0.0041,,,,
2006,2010,SLV,Natural,0.0028,,,,
2011,2015,SLV,Natural,0.0023,,,,
2016,2020,SLV,Natural,0.0054,,,,
2000,2005,SLV,Planted,0.0000091,,,,
