year,geo,value
2010,KEN,0
2011,KEN,30
2012,KEN,29
2013,KEN,49
2014,KEN,31
2015,KEN,31
2016,KEN,0
2017,KEN,0
2018,KEN,0
2019,KEN,0
2020,KEN,0
2021,KEN,0
2022,KEN,0
2023,KEN,0
2024,KEN,0
2000,LVA,11
2001,LVA,26
2002,LVA,29
2003,LVA,30
2004,LVA,39
2005,LVA,42
2006,LVA,71
2007,LVA,84
2008,LVA,86
2009,LVA,91
2010,LVA,93
2011,LVA,92
2012,LVA,106
2013,LVA,120
2014,LVA,121
2015,LVA,123
2016,LVA,134
2017,LVA,134
2018,LVA,134
2019,LVA,135
2020,LVA,138
2021,LVA,143
2022,LVA,140
2023,LVA,102
2024,LVA,5
2000,LSO,1
2001,LSO,1
2002,LSO,1
2003,LSO,1
2004,LSO,1
2005,LSO,1
2006,LSO,1
2007,LSO,1
2008,LSO,1
2009,LSO,1
2010,LSO,1
2011,LSO,1
2012,LSO,1
2013,LSO,1
2014,LSO,1
2015,LSO,1
2016,LSO,1
2017,LSO,1
2018,LSO,1
2019,LSO,1
2020,LSO,1
2021,LSO,1
2022,LSO,1
2023,LSO,0
2024,LSO,0
2000,LIE,1
2001,LIE,1
2002,LIE,1
2003,LIE,1
2004,LIE,1
2005,LIE,1
2006,LIE,1
2007,LIE,1
2008,LIE,1
2009,LIE,1
2010,LIE,1
2011,LIE,0
2012,LIE,0
2013,LIE,0
2014,LIE,0
2015,LIE,0
2016,LIE,0
2017,LIE,0
2018,LIE,0
2019,LIE,0
2020,LIE,0
2021,LIE,0
2022,LIE,0
2023,LIE,0
2024,LIE,0
2000,LTU,48
2001,LTU,48
2002,LTU,49
2003,LTU,49
2004,LTU,36
2005,LTU,30
2006,LTU,32
2007,LTU,32
2008,LTU,38
2009,LTU,38
2010,LTU,38
2011,LTU,41
2012,LTU,42
2013,LTU,163
2014,LTU,256
2015,LTU,304
2016,LTU,348
2017,LTU,356
2018,LTU,357
2019,LTU,354
2020,LTU,345
2021,LTU,333
2022,LTU,242
2023,LTU,179
2024,LTU,6
2000,LUX,0
2001,LUX,0
2002,LUX,0
2003,LUX,0
2004,LUX,0
2005,LUX,0
2006,LUX,0
2007,LUX,0
2008,LUX,0
2009,LUX,1
2010,LUX,1
2011,LUX,1
2012,LUX,1
2013,LUX,1
2014,LUX,1
2015,LUX,1
2016,LUX,1
2017,LUX,1
2018,LUX,1
2019,LUX,1
2020,LUX,1
2021,LUX,1
2022,LUX,1
2023,LUX,1
2024,LUX,1
2000,MYS,0
2001,MYS,0
2002,MYS,0
2003,MYS,0
2004,MYS,0
2005,MYS,0
2006,MYS,0
2007,MYS,0
2008,MYS,0
2009,MYS,0
2010,MYS,0
2011,MYS,0
2012,MYS,0
2013,MYS,0
2014,MYS,0
2015,MYS,0
2016,MYS,0
2017,MYS,0
2018,MYS,0
2019,MYS,0
2020,MYS,0
2021,MYS,0
2022,MYS,0
2023,MYS,0
2024,MYS,0
2000,MLI,0
2001,MLI,0
2002,MLI,0
2003,MLI,0
2004,MLI,0
2005,MLI,0
2006,MLI,0
2007,MLI,0
2008,MLI,0
2009,MLI,0
2010,MLI,0
2011,MLI,0
2012,MLI,0
2013,MLI,0
2014,MLI,0
2015,MLI,0
2016,MLI,0
2017,MLI,0
2018,MLI,0
2019,MLI,0
2020,MLI,0
2021,MLI,0
2022,MLI,0
2023,MLI,0
2024,MLI,0
2000,MLT,0
2001,MLT,0
2002,MLT,1
2003,MLT,1
2004,MLT,1
2005,MLT,1
2006,MLT,0
2007,MLT,0
2008,MLT,0
2009,MLT,0
2010,MLT,0
2011,MLT,0
2012,MLT,0
2013,MLT,0
2014,MLT,0
2015,MLT,0
2016,MLT,0
2017,MLT,0
2018,MLT,0
2019,MLT,0
2020,MLT,0
2021,MLT,0
2022,MLT,0
2023,MLT,0
2024,MLT,0
2000,MEX,0
2001,MEX,0
2002,MEX,0
2003,MEX,0
2004,MEX,0
2005,MEX,0
2006,MEX,0
2007,MEX,0
