year,geo,value
2013,JAM,28
2014,JAM,31
2015,JAM,31
2016,JAM,33
2017,JAM,34
2018,JAM,35
2019,JAM,36
2020,JAM,40
2021,JAM,40
2022,JAM,41
2023,JAM,39
2024,JAM,39
2025,JAM,38
2007,JOR,19
2008,JOR,21
2009,JOR,22
2010,JOR,24
2011,JOR,25
2012,JOR,26
2013,JOR,26
2014,JOR,25
2015,JOR,23
2016,JOR,25
2017,JOR,26
2018,JOR,28
2019,JOR,25
2020,JOR,29
2021,JOR,29
2022,JOR,29
2023,JOR,30
2024,JOR,30
2004,JPN,124
2005,JPN,124
2006,JPN,124
2007,JPN,125
2008,JPN,125
2009,JPN,133
2010,JPN,131
2011,JPN,129
2012,JPN,128
2013,JPN,128
2014,JPN,127
2015,JPN,127
2016,JPN,127
2017,JPN,127
2018,JPN,127
2019,JPN,123
2020,JPN,121
2021,JPN,117
2022,JPN,113
2023,JPN,110
2024,JPN,107
2025,JPN,106
2004,KAZ,9.5
2005,KAZ,14
2006,KAZ,19
2007,KAZ,36
2008,KAZ,51
2009,KAZ,56
2010,KAZ,61
2011,KAZ,64
2012,KAZ,68
2013,KAZ,70
2014,KAZ,71
2015,KAZ,70
2016,KAZ,72
2017,KAZ,73
2018,KAZ,82
2019,KAZ,83
2020,KAZ,92
2021,KAZ,89
2022,KAZ,88
2023,KAZ,88
2024,KAZ,86
2025,KAZ,89
2004,KEN,1.7
2005,KEN,1.6
2006,KEN,3
2007,KEN,4.8
2008,KEN,6
2009,KEN,7.3
2010,KEN,8.9
2011,KEN,9.1
2012,KEN,9.5
2013,KEN,9.7
2014,KEN,9.9
2015,KEN,10
2016,KEN,9.4
2017,KEN,9.7
2018,KEN,9.5
2019,KEN,8
2020,KEN,7.6
2021,KEN,7
2022,KEN,6.8
2023,KEN,6.6
2024,KEN,6.4
2025,KEN,6.1
2004,KGZ,0.61
2005,KGZ,0.97
2006,KGZ,1.2
2007,KGZ,2.4
2008,KGZ,4.7
2009,KGZ,8.4
2010,KGZ,7.3
2011,KGZ,12
2012,KGZ,16
2013,KGZ,21
2014,KGZ,25
2015,KGZ,30
2016,KGZ,31
2017,KGZ,33
2018,KGZ,36
2019,KGZ,39
2020,KGZ,41
2021,KGZ,42
2022,KGZ,44
2023,KGZ,47
2024,KGZ,52
2005,KHM,0.012
2006,KHM,0.74
2007,KHM,1.3
2008,KHM,3.7
2009,KHM,4.3
2010,KHM,5.2
2011,KHM,5.9
2012,KHM,7.1
2013,KHM,8.4
2014,KHM,11
2015,KHM,13
2016,KHM,14
2017,KHM,17
2018,KHM,20
2019,KHM,23
2020,KHM,26
2021,KHM,32
2022,KHM,38
2023,KHM,46
2024,KHM,48
2025,KHM,48
2011,KIR,9.9
2012,KIR,9.7
2013,KIR,14
2004,KNA,88
2005,KNA,93
2006,KNA,92
2007,KNA,66
2008,KNA,71
2009,KNA,78
2010,KNA,78
2011,KNA,86
2012,KNA,88
2013,KNA,111
2014,KNA,105
2015,KNA,107
2016,KNA,104
2017,KNA,103
2018,KNA,106
2019,KNA,114
2020,KNA,119
2021,KNA,119
2022,KNA,118
2023,KNA,118
2024,KNA,125
2025,KNA,125
2004,KOR,209
2005,KOR,213
2006,KOR,219
2007,KOR,235
2008,KOR,243
2009,KOR,248
2010,KOR,266
2011,KOR,282
2012,KOR,289
2013,KOR,289
2014,KOR,281
2015,KOR,276
2016,KOR,271
2017,KOR,272
2018,KOR,266
2019,KOR,263
2020,KOR,258
2021,KOR,257
2022,KOR,253
2023,KOR,244
2004,KWT,31
2005,KWT,35
2006,KWT,40
2007,KWT,46
2008,KWT,51
2009,KWT,52
2010,KWT,51
2011,KWT,51
2012,KWT,55
2013,KWT,54
2014,KWT,57
2015,KWT,57
2016,KWT,63
2017,KWT,64
2018,KWT,70
2019,KWT,76
2020,KWT,62
2021,KWT,64
2022,KWT,63
2023,KWT,59
2024,KWT,59
2025,KWT,59
2008,LAO,2.6
2009,LAO,4.8
2010,LAO,8.6
2011,LAO,11
2012,LAO,13
2013,LAO,18
2014,LAO,19
2015,LAO,23
2016,LAO,24
2017,LAO,25
2018,LAO,25
2019,LAO,26
2020,LAO,27
2021,LAO,28
2022,LAO,27
2023,LAO,29
2024,LAO,28
2025,LAO,29
2004,LBN,27
2005,LBN,28
2006,LBN,30
2007,LBN,31
2008,LBN,32
2009,LBN,33
2010,LBN,35
2011,LBN,35
2012,LBN,37
2013,LBN,36
2014,LBN,34
2015,LBN,36
2016,LBN,39
2017,LBN,42
2018,LBN,46
2019,LBN,48
2020,LBN,46
2021,LBN,42
2022,LBN,36
2023,LBN,34
2024,LBN,33
2025,LBN,33
2008,LBR,1.1
2009,LBR,1.5
2010,LBR,1.4
2011,LBR,1.4
2012,LBR,1.3
2013,LBR,1.6
2014,LBR,1.7
2015,LBR,1.9
2016,LBR,1.9
2017,LBR,2.7
2018,LBR,3.3
2019,LBR,3.6
2020,LBR,3.6
2021,LBR,3.8
2022,LBR,3.8
2023,LBR,3.8
2024,LBR,3.9
2025,LBR,3.9
2004,LBY,3.5
2005,LBY,3.4
2006,LBY,3.4
2007,LBY,3.4
2008,LBY,3.4
2009,LBY,3.5
2010,LBY,3.4
2011,LBY,3.5
2012,LBY,4.1
2013,LBY,4
2014,LBY,3.9
2015,LBY,3.8
2016,LBY,3.8
2017,LBY,3.7
2018,LBY,8.5
2019,LBY,8.7
2020,LBY,8.8
2021,LBY,11
2022,LBY,16
2004,LCA,30
2005,LCA,30
2006,LCA,31
2007,LCA,33
2008,LCA,33
2009,LCA,31
2010,LCA,46
2011,LCA,47
2012,LCA,48
2013,LCA,47
2014,LCA,46
2015,LCA,46
2016,LCA,39
2017,LCA,45
2018,LCA,44
2019,LCA,45
2020,LCA,45
2021,LCA,45
2022,LCA,44
2023,LCA,46
2024,LCA,46
2025,LCA,50
2004,LSO,2.7
2005,LSO,3.6
2006,LSO,3.8
2007,LSO,4.8
2008,LSO,5.6
2009,LSO,6.5
2010,LSO,7.3
2011,LSO,8.1
2012,LSO,9.2
2013,LSO,11
2014,LSO,11
2015,LSO,13
2016,LSO,15
2017,LSO,15
2018,LSO,15
2019,LSO,14
2020,LSO,14
2021,LSO,14
2022,LSO,14
2023,LSO,14
2024,LSO,14
2025,LSO,14
2004,LTU,36
2005,LTU,38
2006,LTU,42
2007,LTU,49
2008,LTU,54
2009,LTU,57
2010,LTU,60
2011,LTU,51
2012,LTU,52
2013,LTU,50
2014,LTU,51
2015,LTU,49
2016,LTU,48
2017,LTU,47
2018,LTU,47
2019,LTU,45
2020,LTU,44
2021,LTU,43
2022,LTU,47
2023,LTU,47
2024,LTU,46
2025,LTU,46
2004,LUX,107
2005,LUX,107
2006,LUX,106
2007,LUX,106
2008,LUX,107
2009,LUX,107
2010,LUX,106
2011,LUX,106
2012,LUX,101
2013,LUX,98
2014,LUX,105
2015,LUX,109
2016,LUX,111
2017,LUX,116
