year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2019,CHN,Total,0,,,,
2020,CHN,Total,0,,,,
2021,CHN,Total,0,,,,
2022,CHN,Total,0,,,,
2018,CIV,Total,1,,,,
2019,CIV,Total,1,,,,
2020,CIV,Total,0,,,,
2021,CIV,Total,0,,,,
2022,CIV,Total,1,,,,
2018,CMR,Total,0,,,,
2019,CMR,Total,0,,,,
2020,CMR,Total,0,,,,
2021,CMR,Total,0,,,,
2022,CMR,Total,0,,,,
2018,COD,Total,0,,,,
2019,COD,Total,0,,,,
2020,COD,Total,0,,,,
2021,COD,Total,0,,,,
2022,COD,Total,0,,,,
2018,COG,Total,0,,,,
2019,COG,Total,0,,,,
2020,COG,Total,0,,,,
2021,COG,Total,0,,,,
2022,COG,Total,0,,,,
2018,COL,Total,0,,,,
2019,COL,Total,0,,,,
2020,COL,Total,0,,,,
2021,COL,Total,0,,,,
2022,COL,Total,0,,,,
2018,COM,Total,1,,,,
2019,COM,Total,1,,,,
2020,COM,Total,1,,,,
2021,COM,Total,1,,,,
2022,COM,Total,1,,,,
2018,CPV,Total,1,,,,
2019,CPV,Total,1,,,,
2020,CPV,Total,1,,,,
2021,CPV,Total,1,,,,
2022,CPV,Total,1,,,,
2018,CRI,Total,1,,,,
2019,CRI,Total,1,,,,
2020,CRI,Total,1,,,,
2021,CRI,Total,1,,,,
2022,CRI,Total,1,,,,
2018,CUB,Total,0,,,,
2019,CUB,Total,0,,,,
2020,CUB,Total,0,,,,
2021,CUB,Total,0,,,,
2022,CUB,Total,0,,,,
2018,CYP,Total,1,,,,
2019,CYP,Total,1,,,,
2020,CYP,Total,1,,,,
2021,CYP,Total,1,,,,
2022,CYP,Total,1,,,,
2018,CZE,Total,1,,,,
2019,CZE,Total,1,,,,
2020,CZE,Total,1,,,,
2021,CZE,Total,1,,,,
2022,CZE,Total,1,,,,
2018,DEU,Total,1,,,,
2019,DEU,Total,1,,,,
2020,DEU,Total,1,,,,
2021,DEU,Total,1,,,,
2022,DEU,Total,1,,,,
2018,DJI,Total,0,,,,
2019,DJI,Total,0,,,,
2020,DJI,Total,0,,,,
2021,DJI,Total,0,,,,
2022,DJI,Total,0,,,,
2018,DMA,Total,1,,,,
2019,DMA,Total,1,,,,
2020,DMA,Total,1,,,,
2021,DMA,Total,1,,,,
2022,DMA,Total,1,,,,
2018,DNK,Total,1,,,,
2019,DNK,Total,1,,,,
2020,DNK,Total,1,,,,
2021,DNK,Total,1,,,,
2022,DNK,Total,1,,,,
2018,DOM,Total,1,,,,
2019,DOM,Total,1,,,,
2020,DOM,Total,1,,,,
2021,DOM,Total,1,,,,
2022,DOM,Total,1,,,,
2018,DZA,Total,0,,,,
2019,DZA,Total,0,,,,
2020,DZA,Total,0,,,,
2021,DZA,Total,0,,,,
2022,DZA,Total,0,,,,
2018,ECU,Total,1,,,,
2019,ECU,Total,1,,,,
2020,ECU,Total,1,,,,
2021,ECU,Total,1,,,,
2022,ECU,Total,1,,,,
2018,EGY,Total,0,,,,
2019,EGY,Total,0,,,,
2020,EGY,Total,0,,,,
2021,EGY,Total,0,,,,
2022,EGY,Total,0,,,,
2018,ERI,Total,0,,,,
2019,ERI,Total,0,,,,
2020,ERI,Total,0,,,,
2021,ERI,Total,0,,,,
2022,ERI,Total,0,,,,
2018,ESP,Total,1,,,,
2019,ESP,Total,1,,,,
2020,ESP,Total,1,,,,
2021,ESP,Total,1,,,,
2022,ESP,Total,1,,,,
2018,EST,Total,1,,,,
2019,EST,Total,1,,,,
2020,EST,Total,1,,,,
2021,EST,Total,1,,,,
2022,EST,Total,1,,,,
2018,ETH,Total,0,,,,
2019,ETH,Total,0,,,,
2020,ETH,Total,0,,,,
2021,ETH,Total,0,,,,
2022,ETH,Total,0,,,,
2018,FIN,Total,1,,,,
2019,FIN,Total,1,,,,
2020,FIN,Total,1,,,,
2021,FIN,Total,1,,,,
2022,FIN,Total,1,,,,
2018,FJI,Total,1,,,,
2019,FJI,Total,1,,,,
2020,FJI,Total,1,,,,
2021,FJI,Total,1,,,,
2022,FJI,Total,1,,,,
2018,FRA,Total,1,,,,
2019,FRA,Total,1,,,,
2020,FRA,Total,1,,,,
2021,FRA,Total,1,,,,
2022,FRA,Total,1,,,,
2018,FSM,Total,1,,,,
2019,FSM,Total,1,,,,
2020,FSM,Total,1,,,,
2021,FSM,Total,1,,,,
2022,FSM,Total,1,,,,
2018,GAB,Total,0,,,,
2019,GAB,Total,0,,,,
2020,GAB,Total,0,,,,
2021,GAB,Total,0,,,,
2022,GAB,Total,0,,,,
2018,GBR,Total,1,,,,
2019,GBR,Total,1,,,,
2020,GBR,Total,1,,,,
2021,GBR,Total,1,,,,
2022,GBR,Total,1,,,,
2018,GEO,Total,1,,,,
2019,GEO,Total,1,,,,
2020,GEO,Total,1,,,,
2021,GEO,Total,1,,,,
2022,GEO,Total,1,,,,
2018,GHA,Total,1,,,,
2019,GHA,Total,1,,,,
2020,GHA,Total,1,,,,
2021,GHA,Total,1,,,,
2022,GHA,Total,1,,,,
2018,GIN,Total,1,,,,
2019,GIN,Total,1,,,,
2020,GIN,Total,0,,,,
