year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2015,VAT,Total,2.27,,,,
2020,VAT,Total,2.34,,,,
2010,VEN,Total,0.00,,,,
2015,VEN,Total,0.07,,,,
2020,VEN,Total,0.07,,,,
2010,VNM,Total,0.08,,,,
2015,VNM,Total,0.20,,,,
2020,VNM,Total,0.14,,,,
2010,YEM,Total,0.37,,,,
2015,YEM,Total,0.50,,,,
2020,YEM,Total,0.39,,,,
2010,ZAF,Total,0.48,,,,
2015,ZAF,Total,0.63,,,,
2020,ZAF,Total,0.71,,,,
2010,ZMB,Total,0.24,,,,
2015,ZMB,Total,0.32,,,,
2020,ZMB,Total,0.37,,,,
2010,ZWE,Total,0.45,,,,
2015,ZWE,Total,0.46,,,,
2020,ZWE,Total,0.53,,,,
2010,WLD,Nighttime,0.75,,,,
2010,WLD,Daytime,1.48,,,,
2015,WLD,Nighttime,0.76,,,,
2015,WLD,Daytime,1.44,,,,
2020,WLD,Nighttime,0.72,,,,
2020,WLD,Daytime,1.52,,,,
2010,AFG,Nighttime,0.09,,,,
2010,AFG,Daytime,-0.01,,,,
2015,AFG,Nighttime,0.10,,,,
2015,AFG,Daytime,-0.01,,,,
2020,AFG,Nighttime,0.12,,,,
2020,AFG,Daytime,-0.02,,,,
2010,AGO,Nighttime,0.29,,,,
2010,AGO,Daytime,1.98,,,,
2015,AGO,Nighttime,0.29,,,,
2015,AGO,Daytime,2.44,,,,
2020,AGO,Nighttime,0.06,,,,
2020,AGO,Daytime,2.86,,,,
2010,ALB,Nighttime,1.28,,,,
2010,ALB,Daytime,1.85,,,,
2015,ALB,Nighttime,1.31,,,,
2015,ALB,Daytime,1.36,,,,
2020,ALB,Nighttime,1.24,,,,
2020,ALB,Daytime,1.67,,,,
2010,ARE,Nighttime,0.42,,,,
2010,ARE,Daytime,-0.12,,,,
2015,ARE,Nighttime,0.41,,,,
2015,ARE,Daytime,-0.02,,,,
2020,ARE,Nighttime,0.25,,,,
2020,ARE,Daytime,0.00,,,,
2010,ARG,Nighttime,1.35,,,,
2010,ARG,Daytime,1.57,,,,
2015,ARG,Nighttime,1.58,,,,
2015,ARG,Daytime,1.59,,,,
2020,ARG,Nighttime,2.02,,,,
2020,ARG,Daytime,1.13,,,,
2010,ARM,Nighttime,-0.41,,,,
2010,ARM,Daytime,-1.46,,,,
2015,ARM,Nighttime,-0.17,,,,
2015,ARM,Daytime,-2.27,,,,
2020,ARM,Nighttime,-0.28,,,,
2020,ARM,Daytime,-2.32,,,,
2010,AUS,Nighttime,0.50,,,,
2010,AUS,Daytime,0.27,,,,
2015,AUS,Nighttime,0.51,,,,
2015,AUS,Daytime,0.75,,,,
2020,AUS,Nighttime,0.45,,,,
2020,AUS,Daytime,0.36,,,,
2010,AUT,Nighttime,1.53,,,,
2010,AUT,Daytime,2.69,,,,
2015,AUT,Nighttime,2.25,,,,
2015,AUT,Daytime,1.62,,,,
2020,AUT,Nighttime,1.67,,,,
2020,AUT,Daytime,2.34,,,,
2010,AZE,Nighttime,0.66,,,,
2010,AZE,Daytime,-0.81,,,,
2015,AZE,Nighttime,0.58,,,,
2015,AZE,Daytime,-0.76,,,,
2020,AZE,Nighttime,0.75,,,,
2020,AZE,Daytime,-0.94,,,,
2010,BDI,Nighttime,-0.01,,,,
2010,BDI,Daytime,1.56,,,,
2015,BDI,Nighttime,-0.02,,,,
2015,BDI,Daytime,2.45,,,,
2020,BDI,Nighttime,-0.14,,,,
2020,BDI,Daytime,2.67,,,,
