year,geog,value
2000,CAN,100
2001,CAN,100
2002,CAN,100
2003,CAN,100
2004,CAN,100
2005,CAN,100
2006,CAN,100
2007,CAN,100
2008,CAN,100
2009,CAN,100
2010,CAN,100
2011,CAN,100
2012,CAN,100
2013,CAN,100
2014,CAN,100
2015,CAN,100
2016,CAN,100
2017,CAN,100
2018,CAN,100
2019,CAN,100
2020,CAN,100
2000,CYM,100
2001,CYM,100
2002,CYM,100
2003,CYM,100
2004,CYM,100
2005,CYM,100
2006,CYM,100
2007,CYM,100
2008,CYM,100
2009,CYM,100
2010,CYM,100
2011,CYM,100
2012,CYM,100
2013,CYM,100
2014,CYM,100
2015,CYM,100
2016,CYM,100
2017,CYM,100
2018,CYM,100
2019,CYM,100
2020,CYM,100
2000,CAF,6
2001,CAF,5.7
2002,CAF,6.2
2003,CAF,6.6
2004,CAF,7
2005,CAF,7.5
2006,CAF,7.8
2007,CAF,8.4
2008,CAF,7.5
2009,CAF,9.3
2010,CAF,9.8
2011,CAF,10.2
2012,CAF,10.9
2013,CAF,11.5
2014,CAF,12.1
2015,CAF,12.7
2016,CAF,13.5
2017,CAF,14.3
2018,CAF,14.8
2019,CAF,14.3
2020,CAF,15.5
2000,TCD,3.2
2001,TCD,3.5
2002,TCD,3.9
2003,TCD,4.2
2004,TCD,3.5
2005,TCD,4.9
2006,TCD,5.2
2007,TCD,5.5
2008,TCD,5.9
2009,TCD,6.2
2010,TCD,6.4
2011,TCD,9
2012,TCD,7.8
2013,TCD,8.1
2014,TCD,8.4
2015,TCD,7.7
2016,TCD,9.3
2017,TCD,10.9
2018,TCD,10.1
2019,TCD,8.4
2020,TCD,11.1
2000,CHL,97.9
2001,CHL,97.1
2002,CHL,97.3
2003,CHL,98.8
2004,CHL,97.6
2005,CHL,97.8
2006,CHL,99.4
2007,CHL,98.1
2008,CHL,98.3
2009,CHL,99.6
2010,CHL,99.5
2011,CHL,99.6
2012,CHL,100
2013,CHL,99.6
2014,CHL,100
2015,CHL,99.7
2016,CHL,100
2017,CHL,99.7
2018,CHL,100
2019,CHL,100
2020,CHL,100
2000,CHN,97
2001,CHN,97.3
2002,CHN,97.5
2003,CHN,97.8
2004,CHN,98
2005,CHN,98.2
2006,CHN,98.5
2007,CHN,98.7
2008,CHN,99
2009,CHN,99.2
2010,CHN,99.7
2011,CHN,99.8
2012,CHN,100
2013,CHN,100
2014,CHN,100
2015,CHN,100
2016,CHN,100
2017,CHN,100
2018,CHN,100
2019,CHN,100
2020,CHN,100
2000,HKG,100
2001,HKG,100
2002,HKG,100
2003,HKG,100
2004,HKG,100
2005,HKG,100
2006,HKG,100
2007,HKG,100
2008,HKG,100
2009,HKG,100
2010,HKG,100
2011,HKG,100
2012,HKG,100
2013,HKG,100
2014,HKG,100
2015,HKG,100
2016,HKG,100
2017,HKG,100
2018,HKG,100
2019,HKG,100
2020,HKG,100
2000,MAC,100
2001,MAC,100
2002,MAC,100
2003,MAC,100
2004,MAC,100
2005,MAC,100
2006,MAC,100
2007,MAC,100
2008,MAC,100
2009,MAC,100
2010,MAC,100
2011,MAC,100
2012,MAC,100
2013,MAC,100
2014,MAC,100
2015,MAC,100
2016,MAC,100
2017,MAC,100
2018,MAC,100
2019,MAC,100
2020,MAC,100
2000,COL,95.2
2001,COL,98.5
2002,COL,94.9
2003,COL,95.1
2004,COL,95.4
2005,COL,96.8
2006,COL,95.8
2007,COL,96
2008,COL,96.8
2009,COL,96.1
2010,COL,96.8
2011,COL,96.7
2012,COL,97
2013,COL,97.8
2014,COL,97.8
2015,COL,98.2
2016,COL,98.4
2017,COL,98.5
2018,COL,98.5
2019,COL,99.8
2020,COL,100
2000,COM,39.7
2001,COM,42
2002,COM,44.8
2003,COM,46.6
2004,COM,48.9
2005,COM,51.2
2006,COM,53.5
2007,COM,55.8
2008,COM,58.1
2009,COM,60.4
2010,COM,69.8
2011,COM,69.4
2012,COM,69.3
2013,COM,69.8
2014,COM,72.2
2015,COM,74.6
2016,COM,77
2017,COM,79.4
2018,COM,81.9
2019,COM,84.3
2020,COM,86.7
2000,COG,29.1
2001,COG,30.1
2002,COG,31
2003,COG,32
2004,COG,32.9
2005,COG,33.8
2006,COG,34.9
2007,COG,35.8
2008,COG,36.8
2009,COG,37.1
2010,COG,39.8
2011,COG,40.7
2012,COG,41.6
2013,COG,42.5
2014,COG,43.4
2015,COG,44.4
2016,COG,45.5
2017,COG,46.6
2018,COG,47.4
2019,COG,48.4
2020,COG,49.5
2000,COK,97.8
2001,COK,98
2002,COK,98.1
2003,COK,98.2
2004,COK,98.3
2005,COK,98.4
2006,COK,98.6
2007,COK,98.6
2008,COK,98.7
2009,COK,98.8
2010,COK,99
2011,COK,99.3
2012,COK,99.3
2013,COK,99.5
2014,COK,99.7
2015,COK,100
2016,COK,99.9
2017,COK,100
2018,COK,100
2019,COK,100
2020,COK,100
2000,CRI,96.9
2001,CRI,98.2
2002,CRI,98.5
2003,CRI,98.7
2004,CRI,99
2005,CRI,99.1
2006,CRI,99.1
2007,CRI,99.2
2008,CRI,99.3
2009,CRI,99.4
2010,CRI,99
2011,CRI,99.2
2012,CRI,99.5
2013,CRI,99.6
2014,CRI,99.4
2015,CRI,99.4
2016,CRI,99.5
2017,CRI,99.6
2018,CRI,99.7
2019,CRI,99.7
2020,CRI,99.9
2000,CIV,48.7
2001,CIV,49.7
2002,CIV,51.4
2003,CIV,51.6
2004,CIV,52.5
2005,CIV,58.9
2006,CIV,60.2
2007,CIV,55.4
2008,CIV,60.3
2009,CIV,57.3
2010,CIV,58.3
2011,CIV,55.8
2012,CIV,55.8
2013,CIV,61.4
2014,CIV,61.9
2015,CIV,62.6
2016,CIV,64.3
2017,CIV,65.6
2018,CIV,67.1
2019,CIV,68.5
2020,CIV,69.7
2000,HRV,100
2001,HRV,100
2002,HRV,100
2003,HRV,100
2004,HRV,100
2005,HRV,100
2006,HRV,100
2007,HRV,100
2008,HRV,100
2009,HRV,100
2010,HRV,100
2011,HRV,100
2012,HRV,100
2013,HRV,100
2014,HRV,100
2015,HRV,100
2016,HRV,100
2017,HRV,100
2018,HRV,100
2019,HRV,100
2020,HRV,100
2000,CUB,97
2001,CUB,96.2
2002,CUB,95.5
2003,CUB,96.5
2004,CUB,96.7
2005,CUB,96.8
2006,CUB,96.9
2007,CUB,97.1
2008,CUB,97.2
2009,CUB,97.4
2010,CUB,97.6
2011,CUB,97.7
2012,CUB,98
2013,CUB,98.2
2014,CUB,98.4
2015,CUB,98.7
2016,CUB,99
2017,CUB,99.2
2018,CUB,99.5
2019,CUB,99.8
2020,CUB,100
2000,CUW,100
2001,CUW,100
2002,CUW,100
2003,CUW,100
2004,CUW,100
2005,CUW,100
2006,CUW,100
2007,CUW,100
2008,CUW,100
2009,CUW,100
2010,CUW,100
2011,CUW,100
2012,CUW,100
2013,CUW,100
2014,CUW,100
2015,CUW,100
2016,CUW,100
2017,CUW,100
2018,CUW,100
2019,CUW,100
2020,CUW,100
2000,CYP,100
2001,CYP,100
2002,CYP,100
2003,CYP,100
2004,CYP,100
2005,CYP,100
2006,CYP,100
2007,CYP,100
2008,CYP,100
2009,CYP,100
2010,CYP,100
2011,CYP,100
2012,CYP,100
2013,CYP,100
2014,CYP,100
2015,CYP,100
2016,CYP,100
2017,CYP,100
2018,CYP,100
2019,CYP,100
2020,CYP,100
2000,CZE,100
2001,CZE,100
2002,CZE,100
2003,CZE,100
2004,CZE,100
2005,CZE,100
2006,CZE,100
2007,CZE,100
2008,CZE,100
2009,CZE,100
2010,CZE,100
2011,CZE,100
2012,CZE,100
2013,CZE,100
2014,CZE,100
2015,CZE,100
2016,CZE,100
2017,CZE,100
2018,CZE,100
2019,CZE,100
2020,CZE,100
2009,PRK,26
2010,PRK,29.3
2011,PRK,31.5
2012,PRK,33.8
2013,PRK,36
2014,PRK,38.3
2015,PRK,40.6
2016,PRK,43
2017,PRK,45.3
2018,PRK,47.6
2019,PRK,50
2020,PRK,52.3
2000,COD,6.7
2001,COD,7.3
2002,COD,7.9
2003,COD,8.5
2004,COD,9.1
2005,COD,6
2006,COD,10.3
2007,COD,15.2
2008,COD,11.5
2009,COD,12.1
2010,COD,12.7
2011,COD,13.4
2012,COD,15.4
2013,COD,14.7
2014,COD,13.5
2015,COD,16.1
2016,COD,17
2017,COD,17.9
2018,COD,18.6
2019,COD,19.1
2020,COD,19.1
2000,DNK,100
2001,DNK,100
2002,DNK,100
2003,DNK,100
2004,DNK,100
2005,DNK,100
2006,DNK,100
2007,DNK,100
2008,DNK,100
2009,DNK,100
2010,DNK,100
2011,DNK,100
2012,DNK,100
2013,DNK,100
2014,DNK,100
2015,DNK,100
2016,DNK,100
2017,DNK,100
2018,DNK,100
2019,DNK,100
2020,DNK,100
2000,DJI,56.4
2001,DJI,56.4
2002,DJI,49.7
2003,DJI,56.3
2004,DJI,56.3
2005,DJI,56.3
2006,DJI,55.5
2007,DJI,56.2
2008,DJI,56.2
2009,DJI,56.2
2010,DJI,56.2
2011,DJI,56.2
2012,DJI,54.6
2013,DJI,56.3
2014,DJI,56.6
2015,DJI,57.6
2016,DJI,58.7
2017,DJI,60.2
2018,DJI,60.6
2019,DJI,61.2
2020,DJI,61.8
2000,DMA,81
2001,DMA,82.3
2002,DMA,87.7
2003,DMA,84.9
2004,DMA,86.2
2005,DMA,87.5
2006,DMA,88.8
2007,DMA,90.2
2008,DMA,90.9
2009,DMA,92.8
2010,DMA,94.2
2011,DMA,95.5
2012,DMA,96.9
2013,DMA,98.3
2014,DMA,99.7
2015,DMA,99.8
2016,DMA,100
2017,DMA,100
2018,DMA,100
2019,DMA,100
2020,DMA,100
2000,DOM,88.8
2001,DOM,89.8
2002,DOM,89.7
2003,DOM,89.2
2004,DOM,90.3
2005,DOM,90.1
2006,DOM,90.1
2007,DOM,96.9
2008,DOM,97.6
2009,DOM,97.9
2010,DOM,98.1
2011,DOM,97.9
2012,DOM,97.9
2013,DOM,98.4
2014,DOM,98.5
2015,DOM,98.6
2016,DOM,98.9
2017,DOM,100
2018,DOM,98.9
2019,DOM,99
2020,DOM,100
