year,geo,disagg_type,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2018,COD,Sex,Female,7.5,,,,
2019,COD,Sex,Female,7.8,,,,
2020,COD,Sex,Female,8.2,,,,
2021,COD,Sex,Female,8.6,,,,
2022,COD,Sex,Female,9,,,,
2000,COD,Sex,Male,1.7,,,,
2001,COD,Sex,Male,1.8,,,,
2002,COD,Sex,Male,1.9,,,,
2003,COD,Sex,Male,2,,,,
2004,COD,Sex,Male,2.1,,,,
2005,COD,Sex,Male,2.2,,,,
2006,COD,Sex,Male,2.3,,,,
2007,COD,Sex,Male,2.4,,,,
2008,COD,Sex,Male,2.6,,,,
2009,COD,Sex,Male,2.7,,,,
2010,COD,Sex,Male,2.7,,,,
2011,COD,Sex,Male,2.8,,,,
2012,COD,Sex,Male,2.9,,,,
2013,COD,Sex,Male,3,,,,
2014,COD,Sex,Male,3.1,,,,
2015,COD,Sex,Male,3.2,,,,
2016,COD,Sex,Male,3.3,,,,
2017,COD,Sex,Male,3.4,,,,
2018,COD,Sex,Male,3.5,,,,
2019,COD,Sex,Male,3.7,,,,
2020,COD,Sex,Male,3.8,,,,
2021,COD,Sex,Male,4,,,,
2022,COD,Sex,Male,4.2,,,,
2000,COD,All,Total,2.3,,,,
2001,COD,All,Total,2.5,,,,
2002,COD,All,Total,2.6,,,,
2003,COD,All,Total,2.8,,,,
2004,COD,All,Total,3,,,,
2005,COD,All,Total,3.2,,,,
2006,COD,All,Total,3.3,,,,
2007,COD,All,Total,3.5,,,,
2008,COD,All,Total,3.7,,,,
2009,COD,All,Total,3.9,,,,
2010,COD,All,Total,4,,,,
2011,COD,All,Total,4.2,,,,
2012,COD,All,Total,4.4,,,,
2013,COD,All,Total,4.5,,,,
2014,COD,All,Total,4.7,,,,
2015,COD,All,Total,4.9,,,,
2016,COD,All,Total,5.1,,,,
2017,COD,All,Total,5.3,,,,
2018,COD,All,Total,5.6,,,,
2019,COD,All,Total,5.8,,,,
2020,COD,All,Total,6.1,,,,
2021,COD,All,Total,6.3,,,,
2022,COD,All,Total,6.6,,,,
2000,COG,Sex,Female,7.9,,,,
2001,COG,Sex,Female,8.3,,,,
2002,COG,Sex,Female,8.7,,,,
2003,COG,Sex,Female,9.1,,,,
2004,COG,Sex,Female,9.4,,,,
2005,COG,Sex,Female,9.8,,,,
2006,COG,Sex,Female,10.1,,,,
2007,COG,Sex,Female,10.4,,,,
2008,COG,Sex,Female,10.6,,,,
2009,COG,Sex,Female,10.9,,,,
2010,COG,Sex,Female,11,,,,
2011,COG,Sex,Female,11.2,,,,
2012,COG,Sex,Female,11.4,,,,
2013,COG,Sex,Female,11.5,,,,
2014,COG,Sex,Female,11.6,,,,
2015,COG,Sex,Female,11.8,,,,
2016,COG,Sex,Female,11.9,,,,
2017,COG,Sex,Female,12,,,,
2018,COG,Sex,Female,12.2,,,,
2019,COG,Sex,Female,12.3,,,,
2020,COG,Sex,Female,12.4,,,,
2021,COG,Sex,Female,12.6,,,,
2022,COG,Sex,Female,12.8,,,,
2000,COG,Sex,Male,2.1,,,,
2001,COG,Sex,Male,2.2,,,,
2002,COG,Sex,Male,2.3,,,,
2003,COG,Sex,Male,2.4,,,,
2004,COG,Sex,Male,2.5,,,,
2005,COG,Sex,Male,2.6,,,,
2006,COG,Sex,Male,2.7,,,,
2007,COG,Sex,Male,2.8,,,,
2008,COG,Sex,Male,2.9,,,,
2009,COG,Sex,Male,3,,,,
2010,COG,Sex,Male,3.1,,,,
2011,COG,Sex,Male,3.2,,,,
2012,COG,Sex,Male,3.2,,,,
2013,COG,Sex,Male,3.3,,,,
2014,COG,Sex,Male,3.3,,,,
2015,COG,Sex,Male,3.4,,,,
2016,COG,Sex,Male,3.5,,,,
2017,COG,Sex,Male,3.6,,,,
2018,COG,Sex,Male,3.7,,,,
2019,COG,Sex,Male,3.8,,,,
2020,COG,Sex,Male,3.9,,,,
2021,COG,Sex,Male,4,,,,
2022,COG,Sex,Male,4.2,,,,
2000,COG,All,Total,5.1,,,,
2001,COG,All,Total,5.4,,,,
2002,COG,All,Total,5.6,,,,
2003,COG,All,Total,5.9,,,,
2004,COG,All,Total,6.1,,,,
2005,COG,All,Total,6.3,,,,
2006,COG,All,Total,6.5,,,,
2007,COG,All,Total,6.7,,,,
2008,COG,All,Total,6.9,,,,
2009,COG,All,Total,7,,,,
2010,COG,All,Total,7.1,,,,
2011,COG,All,Total,7.3,,,,
2012,COG,All,Total,7.4,,,,
2013,COG,All,Total,7.5,,,,
2014,COG,All,Total,7.6,,,,
2015,COG,All,Total,7.7,,,,
2016,COG,All,Total,7.8,,,,
2017,COG,All,Total,7.9,,,,
2018,COG,All,Total,8,,,,
2019,COG,All,Total,8.1,,,,
2020,COG,All,Total,8.2,,,,
2021,COG,All,Total,8.4,,,,
2022,COG,All,Total,8.5,,,,
2000,COK,Sex,Female,58.7,,,,
2001,COK,Sex,Female,59.3,,,,
2002,COK,Sex,Female,59.9,,,,
2003,COK,Sex,Female,60.5,,,,
2004,COK,Sex,Female,61.1,,,,
2005,COK,Sex,Female,61.7,,,,
2006,COK,Sex,Female,62.3,,,,
2007,COK,Sex,Female,62.9,,,,
2008,COK,Sex,Female,63.5,,,,
2009,COK,Sex,Female,64.1,,,,
2010,COK,Sex,Female,64.8,,,,
2011,COK,Sex,Female,65.4,,,,
2012,COK,Sex,Female,66,,,,
2013,COK,Sex,Female,66.6,,,,
2014,COK,Sex,Female,67.3,,,,
2015,COK,Sex,Female,67.9,,,,
2016,COK,Sex,Female,68.5,,,,
2017,COK,Sex,Female,69.1,,,,
2018,COK,Sex,Female,69.7,,,,
2019,COK,Sex,Female,70.3,,,,
2020,COK,Sex,Female,70.9,,,,
2021,COK,Sex,Female,71.4,,,,
2022,COK,Sex,Female,72,,,,
2000,COK,Sex,Male,50.2,,,,
2001,COK,Sex,Male,50.8,,,,
2002,COK,Sex,Male,51.5,,,,
2003,COK,Sex,Male,52.1,,,,
2004,COK,Sex,Male,52.8,,,,
2005,COK,Sex,Male,53.5,,,,
2006,COK,Sex,Male,54.2,,,,
2007,COK,Sex,Male,54.9,,,,
2008,COK,Sex,Male,55.7,,,,
2009,COK,Sex,Male,56.4,,,,
2010,COK,Sex,Male,57.1,,,,
2011,COK,Sex,Male,57.9,,,,
2012,COK,Sex,Male,58.6,,,,
2013,COK,Sex,Male,59.3,,,,
2014,COK,Sex,Male,59.9,,,,
2015,COK,Sex,Male,60.6,,,,
2016,COK,Sex,Male,61.3,,,,
2017,COK,Sex,Male,62,,,,
2018,COK,Sex,Male,62.6,,,,
2019,COK,Sex,Male,63.3,,,,
2020,COK,Sex,Male,64,,,,
2021,COK,Sex,Male,64.6,,,,
2022,COK,Sex,Male,65.3,,,,
2000,COK,All,Total,54.4,,,,
2001,COK,All,Total,55.1,,,,
2002,COK,All,Total,55.7,,,,
2003,COK,All,Total,56.4,,,,
2004,COK,All,Total,57,,,,
2005,COK,All,Total,57.7,,,,
2006,COK,All,Total,58.3,,,,
2007,COK,All,Total,59,,,,
2008,COK,All,Total,59.7,,,,
2009,COK,All,Total,60.4,,,,
2010,COK,All,Total,61.1,,,,
2011,COK,All,Total,61.8,,,,
2012,COK,All,Total,62.5,,,,
2013,COK,All,Total,63.1,,,,
2014,COK,All,Total,63.8,,,,
2015,COK,All,Total,64.5,,,,
2016,COK,All,Total,65.1,,,,
2017,COK,All,Total,65.8,,,,
2018,COK,All,Total,66.4,,,,
2019,COK,All,Total,67.1,,,,
2020,COK,All,Total,67.7,,,,
2021,COK,All,Total,68.3,,,,
2022,COK,All,Total,68.9,,,,
2000,COL,Sex,Female,15.6,,,,
2001,COL,Sex,Female,16.1,,,,
2002,COL,Sex,Female,16.6,,,,
2003,COL,Sex,Female,17.1,,,,
2004,COL,Sex,Female,17.7,,,,
2005,COL,Sex,Female,18.2,,,,
2006,COL,Sex,Female,18.7,,,,
2007,COL,Sex,Female,19.3,,,,
2008,COL,Sex,Female,19.9,,,,
2009,COL,Sex,Female,20.5,,,,
2010,COL,Sex,Female,21.2,,,,
2011,COL,Sex,Female,21.8,,,,
2012,COL,Sex,Female,22.5,,,,
2013,COL,Sex,Female,23.2,,,,
2014,COL,Sex,Female,23.8,,,,
2015,COL,Sex,Female,24.5,,,,
2016,COL,Sex,Female,25.2,,,,
2017,COL,Sex,Female,25.8,,,,
2018,COL,Sex,Female,26.4,,,,
2019,COL,Sex,Female,27,,,,
2020,COL,Sex,Female,27.7,,,,
2021,COL,Sex,Female,28.3,,,,
2022,COL,Sex,Female,28.9,,,,
2000,COL,Sex,Male,7.7,,,,
2001,COL,Sex,Male,8.2,,,,
2002,COL,Sex,Male,8.6,,,,
2003,COL,Sex,Male,9,,,,
2004,COL,Sex,Male,9.5,,,,
2005,COL,Sex,Male,10,,,,
2006,COL,Sex,Male,10.5,,,,
2007,COL,Sex,Male,11,,,,
2008,COL,Sex,Male,11.5,,,,
2009,COL,Sex,Male,12,,,,
2010,COL,Sex,Male,12.5,,,,
2011,COL,Sex,Male,12.9,,,,
2012,COL,Sex,Male,13.4,,,,
2013,COL,Sex,Male,13.9,,,,
2014,COL,Sex,Male,14.4,,,,
2015,COL,Sex,Male,14.8,,,,
2016,COL,Sex,Male,15.2,,,,
2017,COL,Sex,Male,15.7,,,,
2018,COL,Sex,Male,16.1,,,,
2019,COL,Sex,Male,16.5,,,,
2020,COL,Sex,Male,17,,,,
2021,COL,Sex,Male,17.4,,,,
2022,COL,Sex,Male,17.9,,,,
2000,COL,All,Total,11.8,,,,
2001,COL,All,Total,12.3,,,,
2002,COL,All,Total,12.8,,,,
2003,COL,All,Total,13.3,,,,
2004,COL,All,Total,13.8,,,,
2005,COL,All,Total,14.3,,,,
2006,COL,All,Total,14.8,,,,
2007,COL,All,Total,15.3,,,,
2008,COL,All,Total,15.9,,,,
2009,COL,All,Total,16.4,,,,
2010,COL,All,Total,17,,,,
2011,COL,All,Total,17.6,,,,
2012,COL,All,Total,18.2,,,,
2013,COL,All,Total,18.7,,,,
2014,COL,All,Total,19.3,,,,
2015,COL,All,Total,19.9,,,,
2016,COL,All,Total,20.4,,,,
2017,COL,All,Total,20.9,,,,
2018,COL,All,Total,21.5,,,,
2019,COL,All,Total,22,,,,
2020,COL,All,Total,22.5,,,,
2021,COL,All,Total,23.1,,,,
2022,COL,All,Total,23.6,,,,
2000,COM,Sex,Female,8.7,,,,
2001,COM,Sex,Female,9.2,,,,
2002,COM,Sex,Female,9.8,,,,
2003,COM,Sex,Female,10.4,,,,
2004,COM,Sex,Female,11.1,,,,
2005,COM,Sex,Female,11.7,,,,
2006,COM,Sex,Female,12.4,,,,
2007,COM,Sex,Female,13.1,,,,
2008,COM,Sex,Female,13.8,,,,
2009,COM,Sex,Female,14.4,,,,
2010,COM,Sex,Female,15.1,,,,
2011,COM,Sex,Female,15.8,,,,
2012,COM,Sex,Female,16.6,,,,
2013,COM,Sex,Female,17.3,,,,
2014,COM,Sex,Female,18,,,,
2015,COM,Sex,Female,18.8,,,,
2016,COM,Sex,Female,19.6,,,,
2017,COM,Sex,Female,20.4,,,,
2018,COM,Sex,Female,21.2,,,,
2019,COM,Sex,Female,22,,,,
2020,COM,Sex,Female,22.8,,,,
2021,COM,Sex,Female,23.7,,,,
2022,COM,Sex,Female,24.5,,,,
2000,COM,Sex,Male,2.6,,,,
2001,COM,Sex,Male,2.7,,,,
2002,COM,Sex,Male,2.9,,,,
2003,COM,Sex,Male,3.1,,,,
2004,COM,Sex,Male,3.2,,,,
2005,COM,Sex,Male,3.4,,,,
2006,COM,Sex,Male,3.6,,,,
2007,COM,Sex,Male,3.8,,,,
2008,COM,Sex,Male,4,,,,
2009,COM,Sex,Male,4.1,,,,
2010,COM,Sex,Male,4.3,,,,
2011,COM,Sex,Male,4.5,,,,
2012,COM,Sex,Male,4.7,,,,
2013,COM,Sex,Male,4.9,,,,
2014,COM,Sex,Male,5.2,,,,
2015,COM,Sex,Male,5.4,,,,
2016,COM,Sex,Male,5.7,,,,
2017,COM,Sex,Male,6,,,,
2018,COM,Sex,Male,6.4,,,,
2019,COM,Sex,Male,6.7,,,,
2020,COM,Sex,Male,7.1,,,,
2021,COM,Sex,Male,7.6,,,,
2022,COM,Sex,Male,8,,,,
2000,COM,All,Total,5.7,,,,
2001,COM,All,Total,6.1,,,,
2002,COM,All,Total,6.5,,,,
2003,COM,All,Total,6.9,,,,
2004,COM,All,Total,7.3,,,,
2005,COM,All,Total,7.7,,,,
2006,COM,All,Total,8.1,,,,
2007,COM,All,Total,8.5,,,,
2008,COM,All,Total,8.9,,,,
2009,COM,All,Total,9.4,,,,
2010,COM,All,Total,9.8,,,,
2011,COM,All,Total,10.3,,,,
2012,COM,All,Total,10.7,,,,
2013,COM,All,Total,11.2,,,,
2014,COM,All,Total,11.7,,,,
2015,COM,All,Total,12.2,,,,
2016,COM,All,Total,12.7,,,,
2017,COM,All,Total,13.2,,,,
2018,COM,All,Total,13.8,,,,
2019,COM,All,Total,14.4,,,,
2020,COM,All,Total,15,,,,
2021,COM,All,Total,15.6,,,,
2022,COM,All,Total,16.3,,,,
2000,CPV,Sex,Female,9,,,,
2001,CPV,Sex,Female,9.6,,,,
2002,CPV,Sex,Female,10.2,,,,
2003,CPV,Sex,Female,10.8,,,,
2004,CPV,Sex,Female,11.4,,,,
2005,CPV,Sex,Female,12,,,,
2006,CPV,Sex,Female,12.6,,,,
2007,CPV,Sex,Female,13.2,,,,
2008,CPV,Sex,Female,13.8,,,,
2009,CPV,Sex,Female,14.3,,,,
2010,CPV,Sex,Female,14.9,,,,
2011,CPV,Sex,Female,15.4,,,,
2012,CPV,Sex,Female,15.9,,,,
2013,CPV,Sex,Female,16.5,,,,
2014,CPV,Sex,Female,17.1,,,,
2015,CPV,Sex,Female,17.7,,,,
2016,CPV,Sex,Female,18.4,,,,
2017,CPV,Sex,Female,19.1,,,,
2018,CPV,Sex,Female,19.8,,,,
2019,CPV,Sex,Female,20.5,,,,
2020,CPV,Sex,Female,21.3,,,,
2021,CPV,Sex,Female,22.1,,,,
2022,CPV,Sex,Female,22.9,,,,
2000,CPV,Sex,Male,3.6,,,,
2001,CPV,Sex,Male,3.8,,,,
2002,CPV,Sex,Male,4.1,,,,
2003,CPV,Sex,Male,4.4,,,,
2004,CPV,Sex,Male,4.6,,,,
2005,CPV,Sex,Male,4.9,,,,
2006,CPV,Sex,Male,5.2,,,,
2007,CPV,Sex,Male,5.4,,,,
2008,CPV,Sex,Male,5.7,,,,
2009,CPV,Sex,Male,5.9,,,,
2010,CPV,Sex,Male,6.1,,,,
2011,CPV,Sex,Male,6.3,,,,
2012,CPV,Sex,Male,6.4,,,,
2013,CPV,Sex,Male,6.5,,,,
2014,CPV,Sex,Male,6.7,,,,
2015,CPV,Sex,Male,6.8,,,,
2016,CPV,Sex,Male,7,,,,
2017,CPV,Sex,Male,7.2,,,,
2018,CPV,Sex,Male,7.4,,,,
2019,CPV,Sex,Male,7.6,,,,
2020,CPV,Sex,Male,7.9,,,,
2021,CPV,Sex,Male,8.1,,,,
2022,CPV,Sex,Male,8.4,,,,
2000,CPV,All,Total,6.7,,,,
2001,CPV,All,Total,7.1,,,,
2002,CPV,All,Total,7.5,,,,
2003,CPV,All,Total,7.9,,,,
2004,CPV,All,Total,8.4,,,,
2005,CPV,All,Total,8.8,,,,
2006,CPV,All,Total,9.2,,,,
2007,CPV,All,Total,9.6,,,,
2008,CPV,All,Total,9.9,,,,
2009,CPV,All,Total,10.3,,,,
2010,CPV,All,Total,10.6,,,,
2011,CPV,All,Total,11,,,,
2012,CPV,All,Total,11.3,,,,
2013,CPV,All,Total,11.7,,,,
2014,CPV,All,Total,12,,,,
2015,CPV,All,Total,12.4,,,,
2016,CPV,All,Total,12.8,,,,
2017,CPV,All,Total,13.3,,,,
2018,CPV,All,Total,13.7,,,,
2019,CPV,All,Total,14.2,,,,
2020,CPV,All,Total,14.7,,,,
2021,CPV,All,Total,15.2,,,,
2022,CPV,All,Total,15.8,,,,
2000,CRI,Sex,Female,20.2,,,,
2001,CRI,Sex,Female,21,,,,
2002,CRI,Sex,Female,21.7,,,,
2003,CRI,Sex,Female,22.4,,,,
2004,CRI,Sex,Female,23.2,,,,
2005,CRI,Sex,Female,23.9,,,,
2006,CRI,Sex,Female,24.7,,,,
2007,CRI,Sex,Female,25.4,,,,
2008,CRI,Sex,Female,26.2,,,,
2009,CRI,Sex,Female,27,,,,
2010,CRI,Sex,Female,27.8,,,,
2011,CRI,Sex,Female,28.7,,,,
2012,CRI,Sex,Female,29.5,,,,
2013,CRI,Sex,Female,30.4,,,,
2014,CRI,Sex,Female,31.2,,,,
2015,CRI,Sex,Female,32,,,,
2016,CRI,Sex,Female,32.9,,,,
2017,CRI,Sex,Female,33.7,,,,
2018,CRI,Sex,Female,34.5,,,,
2019,CRI,Sex,Female,35.3,,,,
2020,CRI,Sex,Female,36.1,,,,
2021,CRI,Sex,Female,36.9,,,,
2022,CRI,Sex,Female,37.7,,,,
2000,CRI,Sex,Male,14.2,,,,
2001,CRI,Sex,Male,14.7,,,,
2002,CRI,Sex,Male,15.2,,,,
2003,CRI,Sex,Male,15.8,,,,
2004,CRI,Sex,Male,16.3,,,,
2005,CRI,Sex,Male,16.8,,,,
2006,CRI,Sex,Male,17.3,,,,
2007,CRI,Sex,Male,17.8,,,,
2008,CRI,Sex,Male,18.2,,,,
2009,CRI,Sex,Male,18.7,,,,
2010,CRI,Sex,Male,19.2,,,,
2011,CRI,Sex,Male,19.6,,,,
2012,CRI,Sex,Male,20.1,,,,
2013,CRI,Sex,Male,20.5,,,,
2014,CRI,Sex,Male,21,,,,
2015,CRI,Sex,Male,21.4,,,,
2016,CRI,Sex,Male,21.9,,,,
2017,CRI,Sex,Male,22.3,,,,
2018,CRI,Sex,Male,22.8,,,,
2019,CRI,Sex,Male,23.3,,,,
2020,CRI,Sex,Male,23.8,,,,
2021,CRI,Sex,Male,24.3,,,,
2022,CRI,Sex,Male,24.8,,,,
2000,CRI,All,Total,17.3,,,,
2001,CRI,All,Total,17.9,,,,
2002,CRI,All,Total,18.5,,,,
2003,CRI,All,Total,19.2,,,,
2004,CRI,All,Total,19.8,,,,
2005,CRI,All,Total,20.4,,,,
2006,CRI,All,Total,21,,,,
2007,CRI,All,Total,21.6,,,,
2008,CRI,All,Total,22.3,,,,
2009,CRI,All,Total,22.9,,,,
2010,CRI,All,Total,23.6,,,,
2011,CRI,All,Total,24.2,,,,
2012,CRI,All,Total,24.9,,,,
2013,CRI,All,Total,25.5,,,,
2014,CRI,All,Total,26.2,,,,
2015,CRI,All,Total,26.8,,,,
2016,CRI,All,Total,27.5,,,,
2017,CRI,All,Total,28.1,,,,
2018,CRI,All,Total,28.7,,,,
2019,CRI,All,Total,29.4,,,,
2020,CRI,All,Total,30,,,,
2021,CRI,All,Total,30.7,,,,
2022,CRI,All,Total,31.4,,,,
2000,CUB,Sex,Female,13.9,,,,
2001,CUB,Sex,Female,14.3,,,,
2002,CUB,Sex,Female,14.8,,,,
2003,CUB,Sex,Female,15.3,,,,
2004,CUB,Sex,Female,15.7,,,,
2005,CUB,Sex,Female,16.2,,,,
2006,CUB,Sex,Female,16.7,,,,
2007,CUB,Sex,Female,17.1,,,,
2008,CUB,Sex,Female,17.6,,,,
2009,CUB,Sex,Female,18.1,,,,
2010,CUB,Sex,Female,18.6,,,,
2011,CUB,Sex,Female,19.1,,,,
2012,CUB,Sex,Female,19.6,,,,
2013,CUB,Sex,Female,20.1,,,,
2014,CUB,Sex,Female,20.6,,,,
2015,CUB,Sex,Female,21.1,,,,
2016,CUB,Sex,Female,21.7,,,,
2017,CUB,Sex,Female,22.2,,,,
2018,CUB,Sex,Female,22.7,,,,
2019,CUB,Sex,Female,23.3,,,,
2020,CUB,Sex,Female,23.8,,,,
2021,CUB,Sex,Female,24.4,,,,
2022,CUB,Sex,Female,24.9,,,,
2000,CUB,Sex,Male,7.4,,,,
2001,CUB,Sex,Male,7.8,,,,
2002,CUB,Sex,Male,8.2,,,,
2003,CUB,Sex,Male,8.7,,,,
2004,CUB,Sex,Male,9.1,,,,
2005,CUB,Sex,Male,9.6,,,,
2006,CUB,Sex,Male,10.1,,,,
2007,CUB,Sex,Male,10.5,,,,
2008,CUB,Sex,Male,11,,,,
2009,CUB,Sex,Male,11.5,,,,
2010,CUB,Sex,Male,12,,,,
2011,CUB,Sex,Male,12.5,,,,
2012,CUB,Sex,Male,12.9,,,,
2013,CUB,Sex,Male,13.4,,,,
2014,CUB,Sex,Male,13.9,,,,
2015,CUB,Sex,Male,14.4,,,,
2016,CUB,Sex,Male,15,,,,
2017,CUB,Sex,Male,15.5,,,,
2018,CUB,Sex,Male,16.1,,,,
2019,CUB,Sex,Male,16.7,,,,
2020,CUB,Sex,Male,17.3,,,,
2021,CUB,Sex,Male,17.9,,,,
2022,CUB,Sex,Male,18.5,,,,
2000,CUB,All,Total,10.7,,,,
2001,CUB,All,Total,11.1,,,,
2002,CUB,All,Total,11.6,,,,
2003,CUB,All,Total,12,,,,
2004,CUB,All,Total,12.5,,,,
2005,CUB,All,Total,12.9,,,,
2006,CUB,All,Total,13.4,,,,
2007,CUB,All,Total,13.9,,,,
2008,CUB,All,Total,14.4,,,,
2009,CUB,All,Total,14.8,,,,
2010,CUB,All,Total,15.3,,,,
2011,CUB,All,Total,15.8,,,,
2012,CUB,All,Total,16.3,,,,
2013,CUB,All,Total,16.8,,,,
2014,CUB,All,Total,17.3,,,,
2015,CUB,All,Total,17.8,,,,
2016,CUB,All,Total,18.4,,,,
2017,CUB,All,Total,18.9,,,,
2018,CUB,All,Total,19.5,,,,
2019,CUB,All,Total,20,,,,
2020,CUB,All,Total,20.6,,,,
2021,CUB,All,Total,21.2,,,,
2022,CUB,All,Total,21.8,,,,
2000,CYP,Sex,Female,18.2,,,,
2001,CYP,Sex,Female,18.4,,,,
2002,CYP,Sex,Female,18.6,,,,
2003,CYP,Sex,Female,18.7,,,,
2004,CYP,Sex,Female,18.9,,,,
2005,CYP,Sex,Female,19,,,,
2006,CYP,Sex,Female,19.2,,,,
2007,CYP,Sex,Female,19.3,,,,
2008,CYP,Sex,Female,19.4,,,,
2009,CYP,Sex,Female,19.5,,,,
2010,CYP,Sex,Female,19.6,,,,
2011,CYP,Sex,Female,19.6,,,,
2012,CYP,Sex,Female,19.7,,,,
2013,CYP,Sex,Female,19.7,,,,
2014,CYP,Sex,Female,19.8,,,,
2015,CYP,Sex,Female,19.8,,,,
2016,CYP,Sex,Female,19.9,,,,
2017,CYP,Sex,Female,19.9,,,,
2018,CYP,Sex,Female,20,,,,
2019,CYP,Sex,Female,20,,,,
2020,CYP,Sex,Female,20.1,,,,
2021,CYP,Sex,Female,20.2,,,,
2022,CYP,Sex,Female,20.2,,,,
2000,CYP,Sex,Male,17.8,,,,
2001,CYP,Sex,Male,18.4,,,,
2002,CYP,Sex,Male,19,,,,
2003,CYP,Sex,Male,19.7,,,,
2004,CYP,Sex,Male,20.2,,,,
2005,CYP,Sex,Male,20.8,,,,
2006,CYP,Sex,Male,21.3,,,,
2007,CYP,Sex,Male,21.8,,,,
2008,CYP,Sex,Male,22.2,,,,
2009,CYP,Sex,Male,22.6,,,,
2010,CYP,Sex,Male,22.9,,,,
2011,CYP,Sex,Male,23.1,,,,
2012,CYP,Sex,Male,23.3,,,,
2013,CYP,Sex,Male,23.5,,,,
2014,CYP,Sex,Male,23.7,,,,
2015,CYP,Sex,Male,23.9,,,,
2016,CYP,Sex,Male,24.1,,,,
2017,CYP,Sex,Male,24.3,,,,
2018,CYP,Sex,Male,24.5,,,,
2019,CYP,Sex,Male,24.7,,,,
2020,CYP,Sex,Male,25,,,,
2021,CYP,Sex,Male,25.2,,,,
2022,CYP,Sex,Male,25.5,,,,
2000,CYP,All,Total,18.1,,,,
2001,CYP,All,Total,18.5,,,,
2002,CYP,All,Total,18.9,,,,
2003,CYP,All,Total,19.3,,,,
2004,CYP,All,Total,19.7,,,,
2005,CYP,All,Total,20,,,,
2006,CYP,All,Total,20.3,,,,
2007,CYP,All,Total,20.6,,,,
2008,CYP,All,Total,20.9,,,,
2009,CYP,All,Total,21.1,,,,
2010,CYP,All,Total,21.3,,,,
2011,CYP,All,Total,21.4,,,,
2012,CYP,All,Total,21.6,,,,
2013,CYP,All,Total,21.7,,,,
2014,CYP,All,Total,21.8,,,,
2015,CYP,All,Total,21.9,,,,
2016,CYP,All,Total,22,,,,
2017,CYP,All,Total,22.2,,,,
2018,CYP,All,Total,22.3,,,,
2019,CYP,All,Total,22.4,,,,
2020,CYP,All,Total,22.6,,,,
2021,CYP,All,Total,22.8,,,,
2022,CYP,All,Total,22.9,,,,
2000,CZE,Sex,Female,19.4,,,,
2001,CZE,Sex,Female,19.3,,,,
2002,CZE,Sex,Female,19.2,,,,
2003,CZE,Sex,Female,19.2,,,,
2004,CZE,Sex,Female,19.2,,,,
2005,CZE,Sex,Female,19.2,,,,
2006,CZE,Sex,Female,19.2,,,,
2007,CZE,Sex,Female,19.3,,,,
2008,CZE,Sex,Female,19.4,,,,
2009,CZE,Sex,Female,19.5,,,,
2010,CZE,Sex,Female,19.7,,,,
2011,CZE,Sex,Female,19.9,,,,
2012,CZE,Sex,Female,20.1,,,,
2013,CZE,Sex,Female,20.3,,,,
2014,CZE,Sex,Female,20.5,,,,
2015,CZE,Sex,Female,20.7,,,,
2016,CZE,Sex,Female,20.9,,,,
2017,CZE,Sex,Female,21.2,,,,
2018,CZE,Sex,Female,21.4,,,,
2019,CZE,Sex,Female,21.6,,,,
2020,CZE,Sex,Female,21.8,,,,
2021,CZE,Sex,Female,22.1,,,,
2022,CZE,Sex,Female,22.3,,,,
2000,CZE,Sex,Male,18.6,,,,
2001,CZE,Sex,Male,19,,,,
2002,CZE,Sex,Male,19.3,,,,
2003,CZE,Sex,Male,19.6,,,,
2004,CZE,Sex,Male,20,,,,
2005,CZE,Sex,Male,20.3,,,,
2006,CZE,Sex,Male,20.7,,,,
2007,CZE,Sex,Male,21.2,,,,
2008,CZE,Sex,Male,21.6,,,,
2009,CZE,Sex,Male,22.1,,,,
2010,CZE,Sex,Male,22.5,,,,
2011,CZE,Sex,Male,23,,,,
2012,CZE,Sex,Male,23.4,,,,
2013,CZE,Sex,Male,23.9,,,,
2014,CZE,Sex,Male,24.5,,,,
2015,CZE,Sex,Male,25,,,,
2016,CZE,Sex,Male,25.6,,,,
2017,CZE,Sex,Male,26.2,,,,
2018,CZE,Sex,Male,26.8,,,,
2019,CZE,Sex,Male,27.5,,,,
2020,CZE,Sex,Male,28.1,,,,
2021,CZE,Sex,Male,28.8,,,,
2022,CZE,Sex,Male,29.5,,,,
2000,CZE,All,Total,19.2,,,,
2001,CZE,All,Total,19.3,,,,
2002,CZE,All,Total,19.4,,,,
2003,CZE,All,Total,19.5,,,,
2004,CZE,All,Total,19.7,,,,
2005,CZE,All,Total,19.9,,,,
2006,CZE,All,Total,20.1,,,,
2007,CZE,All,Total,20.3,,,,
2008,CZE,All,Total,20.6,,,,
2009,CZE,All,Total,20.9,,,,
2010,CZE,All,Total,21.2,,,,
2011,CZE,All,Total,21.5,,,,
2012,CZE,All,Total,21.8,,,,
2013,CZE,All,Total,22.2,,,,
2014,CZE,All,Total,22.6,,,,
2015,CZE,All,Total,22.9,,,,
2016,CZE,All,Total,23.4,,,,
2017,CZE,All,Total,23.8,,,,
2018,CZE,All,Total,24.2,,,,
2019,CZE,All,Total,24.6,,,,
2020,CZE,All,Total,25.1,,,,
2021,CZE,All,Total,25.5,,,,
2022,CZE,All,Total,26,,,,
2000,DEU,Sex,Female,17.1,,,,
2001,DEU,Sex,Female,17.4,,,,
2002,DEU,Sex,Female,17.7,,,,
