year,ISO,value,projections,benchmark_low,benchmark_mid,benchmark_high
2004,AUT,1.67558,,,,
2005,AUT,1.67352,,,,
2006,AUT,1.9012,,,,
2007,AUT,2.0748,,,,
2008,AUT,2.07621,,,,
2009,AUT,1.7856,,,,
2010,AUT,1.61227,,,,
2011,AUT,1.65127,,,,
2012,AUT,1.66617,,,,
2013,AUT,1.63999,,,,
2014,AUT,1.6368,,,,
2015,AUT,1.69312,,,,
2016,AUT,1.7906,,,,
2017,AUT,1.77256,,,,
2018,AUT,1.94778,,,,
2019,AUT,1.77989,,,,
2020,AUT,1.80012,,,,
1970,AZE,0.358644,,,,
1971,AZE,0.375124,,,,
1972,AZE,0.388755,,,,
1973,AZE,0.405324,,,,
1974,AZE,0.424468,,,,
1975,AZE,0.44733,,,,
1976,AZE,0.452188,,,,
1977,AZE,0.461244,,,,
1978,AZE,0.457864,,,,
1979,AZE,0.441327,,,,
1980,AZE,0.446004,,,,
1981,AZE,0.450585,,,,
1982,AZE,0.435666,,,,
1983,AZE,0.54621,,,,
1984,AZE,0.54264,,,,
1985,AZE,0.56625,,,,
1986,AZE,0.57472,,,,
1987,AZE,0.57534,,,,
1988,AZE,0.033225,,,,
1989,AZE,0.4664,,,,
1990,AZE,0.43263,,,,
1991,AZE,0.403351,,,,
1992,AZE,0.360572,,,,
1993,AZE,0.280348,,,,
1994,AZE,0.203145,,,,
1995,AZE,0.08526,,,,
1996,AZE,0.096782,,,,
1997,AZE,0.13671,,,,
1998,AZE,0.087033,,,,
1999,AZE,0.076641,,,,
2000,AZE,0.0864,,,,
2001,AZE,0.224367,,,,
2002,AZE,0.3604,,,,
2003,AZE,0.42622,,,,
2004,AZE,0.59774,,,,
2005,AZE,0.6391,,,,
2006,AZE,0.66744,,,,
2007,AZE,0.69121,,,,
2008,AZE,0.6752,,,,
2009,AZE,0.50181,,,,
2010,AZE,0.526948,,,,
2011,AZE,0.6099,,,,
2012,AZE,0.778536,,,,
2013,AZE,0.959728,,,,
2014,AZE,1.23522,,,,
2015,AZE,1.14564,,,,
2016,AZE,0.986589,,,,
2017,AZE,1.26246,,,,
2018,AZE,1.46727,,,,
2019,AZE,1.48414,,,,
2020,AZE,1.501,,,,
1980,BDI,0.0000463,,,,
1981,BDI,0.0003672,,,,
1982,BDI,0.0001368,,,,
2011,BDI,0.01239,,,,
2012,BDI,0.025134,,,,
2013,BDI,0.0339,,,,
2014,BDI,0.02324,,,,
2015,BDI,0.0354,,,,
2016,BDI,0.0402383,,,,
2017,BDI,0.0180036,,,,
2018,BDI,0.0278314,,,,
2019,BDI,0.0281513,,,,
2020,BDI,0.0284712,,,,
1970,BEL,3.32462,,,,
1971,BEL,3.38877,,,,
1972,BEL,3.43865,,,,
1973,BEL,3.3792,,,,
1974,BEL,3.54825,,,,
1975,BEL,3.24048,,,,
1976,BEL,3.495,,,,
1977,BEL,3.57736,,,,
1978,BEL,3.46406,,,,
1979,BEL,3.4804,,,,
1980,BEL,3.34356,,,,
1981,BEL,2.95698,,,,
1982,BEL,2.76184,,,,
1983,BEL,2.47104,,,,
1984,BEL,2.43817,,,,
1985,BEL,2.33788,,,,
1986,BEL,2.40192,,,,
1987,BEL,2.34997,,,,
1988,BEL,2.6316,,,,
1989,BEL,2.70816,,,,
1990,BEL,2.75416,,,,
1991,BEL,2.8002,,,,
1992,BEL,2.9859,,,,
1993,BEL,2.98258,,,,
1994,BEL,3.072,,,,
1995,BEL,3.152,,,,
1996,BEL,2.91606,,,,
1997,BEL,3.059,,,,
1998,BEL,3.073,,,,
1999,BEL,3.01392,,,,
2000,BEL,3.16745,,,,
2001,BEL,2.87832,,,,
2002,BEL,2.90368,,,,
2003,BEL,2.7379,,,,
2004,BEL,2.688,,,,
2005,BEL,2.8842,,,,
2006,BEL,2.99754,,,,
2007,BEL,2.9848,,,,
2008,BEL,2.93227,,,,
2009,BEL,2.67154,,,,
2010,BEL,2.46238,,,,
2011,BEL,2.62861,,,,
2012,BEL,2.53084,,,,
2013,BEL,2.44148,,,,
2014,BEL,2.51378,,,,
2015,BEL,2.27782,,,,
2016,BEL,2.30528,,,,
2017,BEL,2.19889,,,,
2018,BEL,2.38211,,,,
2019,BEL,2.61968,,,,
2020,BEL,2.64945,,,,
1971,BEN,0.050082,,,,
1972,BEN,0.054656,,,,
1973,BEN,0.059655,,,,
1974,BEN,0.06025,,,,
1975,BEN,0.078392,,,,
1976,BEN,0.0779,,,,
1977,BEN,0.084488,,,,
1978,BEN,0.063784,,,,
1979,BEN,0.11883,,,,
1980,BEN,0.131955,,,,
1981,BEN,0.136323,,,,
