year,geo,disagg,disagg_type,value
2024,HND,Gender,Female,21
2024,HUN,Gender,Female,13
2024,IND,Gender,Female,19
2024,IDN,Gender,Female,23
2024,IRN,Gender,Female,48
2024,IRQ,Gender,Female,25
2024,ISR,Gender,Female,16
2024,ITA,Gender,Female,11
2024,JOR,Gender,Female,43
2024,KAZ,Gender,Female,12
2024,KEN,Gender,Female,34
2024,XKX,Gender,Female,15
2024,KWT,Gender,Female,18
2024,KGZ,Gender,Female,11
2024,LAO,Gender,Female,25
2024,LVA,Gender,Female,14
2024,LBN,Gender,Female,27
2024,LBR,Gender,Female,39
2024,LBY,Gender,Female,33
2024,LTU,Gender,Female,5
2024,MDG,Gender,Female,17
2024,MWI,Gender,Female,45
2024,MYS,Gender,Female,31
2024,MLI,Gender,Female,32
2024,MRT,Gender,Female,22
2024,MUS,Gender,Female,34
2024,MEX,Gender,Female,23
2024,MDA,Gender,Female,7
2024,MNG,Gender,Female,20
2024,MNE,Gender,Female,12
2024,MAR,Gender,Female,25
2024,MOZ,Gender,Female,42
2024,MMR,Gender,Female,23
2024,NAM,Gender,Female,29
2024,NPL,Gender,Female,15
2024,NIC,Gender,Female,23
2024,NER,Gender,Female,28
2024,NGA,Gender,Female,26
2024,PAK,Gender,Female,12
2024,PSE,Gender,Female,29
2024,PAN,Gender,Female,16
2024,PRY,Gender,Female,14
2024,PER,Gender,Female,27
2024,PHL,Gender,Female,54
2024,POL,Gender,Female,10
2024,RUS,Gender,Female,16
2024,SAU,Gender,Female,23
2024,SEN,Gender,Female,20
2024,SRB,Gender,Female,10
2024,SLE,Gender,Female,25
2024,ZAF,Gender,Female,20
2024,LKA,Gender,Female,32
2024,TJK,Gender,Female,12
2024,TZA,Gender,Female,40
2024,THA,Gender,Female,21
2024,TGO,Gender,Female,23
2024,TUN,Gender,Female,9
2024,TUR,Gender,Female,38
2024,UGA,Gender,Female,27
2024,UKR,Gender,Female,33
2024,ARE,Gender,Female,38
2024,GBR,Gender,Female,13
2024,USA,Gender,Female,23
2024,URY,Gender,Female,12
2024,UZB,Gender,Female,9
2024,VEN,Gender,Female,24
2024,VNM,Gender,Female,8
2024,YEM,Gender,Female,39
2024,ZMB,Gender,Female,29
2024,ZWE,Gender,Female,20
2020,AFG,Property,Urban,29
2020,ALB,Property,Urban,18
2020,DZA,Property,Urban,16
2020,ARG,Property,Urban,16
2020,ARM,Property,Urban,13
2020,AUS,Property,Urban,12
2020,AUT,Property,Urban,4
2020,AZE,Property,Urban,8
2020,BGD,Property,Urban,35
2020,BLR,Property,Urban,10
2020,BEL,Property,Urban,14
2020,BEN,Property,Urban,31
2020,BOL,Property,Urban,24
2020,BIH,Property,Urban,10
2020,BWA,Property,Urban,30
2020,BRA,Property,Urban,22
2020,BGR,Property,Urban,9
2020,BFA,Property,Urban,26
2020,KHM,Property,Urban,30
2020,CMR,Property,Urban,31
2020,CAN,Property,Urban,13
2020,TCD,Property,Urban,18
2020,CHL,Property,Urban,22
2020,CHN,Property,Urban,11
2020,COL,Property,Urban,23
2020,COM,Property,Urban,24
2020,COG,Property,Urban,38
2020,CRI,Property,Urban,16
2020,HRV,Property,Urban,7
2020,CYP,Property,Urban,22
2020,BDI,Property,Urban,28
2020,DNK,Property,Urban,7
2020,DOM,Property,Urban,26
2020,ECU,Property,Urban,17
2020,EGY,Property,Urban,19
2020,SLV,Property,Urban,23
2020,EST,Property,Urban,12
2020,SWZ,Property,Urban,43
2020,ETH,Property,Urban,34
2020,FIN,Property,Urban,4
2020,FRA,Property,Urban,18
2020,GAB,Property,Urban,32
2020,GMB,Property,Urban,22
2020,GEO,Property,Urban,19
2020,DEU,Property,Urban,8
2020,GHA,Property,Urban,27
2020,GRC,Property,Urban,16
2020,GTM,Property,Urban,29
2020,GIN,Property,Urban,26
2020,HND,Property,Urban,21
2020,HUN,Property,Urban,8
2020,IND,Property,Urban,23
2020,IDN,Property,Urban,27
2020,IRN,Property,Urban,37
2020,IRQ,Property,Urban,28
2020,IRL,Property,Urban,14
2020,ISR,Property,Urban,13
2020,ITA,Property,Urban,6
2020,JPN,Property,Urban,17
2020,JOR,Property,Urban,40
2020,KAZ,Property,Urban,17
2020,KEN,Property,Urban,36
2020,KIR,Property,Urban,18
2020,XKX,Property,Urban,9
2020,KWT,Property,Urban,40
2020,KGZ,Property,Urban,24
2020,KGZ,Property,Urban,21
2020,LVA,Property,Urban,11
2020,LBN,Property,Urban,21
2020,LBR,Property,Urban,42
2020,LBY,Property,Urban,22
2020,LTU,Property,Urban,4
2020,LUX,Property,Urban,20
2020,MDG,Property,Urban,29
2020,MWI,Property,Urban,24
2020,MYS,Property,Urban,33
2020,MLI,Property,Urban,28
2020,MLT,Property,Urban,8
2020,MRT,Property,Urban,18
2020,MUS,Property,Urban,25
2020,MEX,Property,Urban,15
2020,MDA,Property,Urban,12
2020,MNG,Property,Urban,19
2020,MNE,Property,Urban,13
