geo,disagg,year,value
JAM,Total,2015,24.6
JAM,Total,2016,26.1
JAM,Total,2017,27.1
JAM,Total,2018,27.9
JAM,Total,2019,29
JPN,Total,2010,38.7
JPN,Total,2011,39.6
JPN,Total,2012,38.4
JPN,Total,2013,38.8
JPN,Total,2014,39.1
JPN,Total,2015,39.3
JPN,Total,2016,39.6
JPN,Total,2017,39.9
JPN,Total,2018,40.7
JPN,Total,2019,40.9
JOR,Total,2011,17
JOR,Total,2012,17.3
JOR,Total,2017,12.6
JOR,Total,2018,12.4
JOR,Total,2019,12
KEN,Total,2016,10.8
KEN,Total,2019,11.3
KWT,Total,2015,36.5
KWT,Total,2016,36.7
KGZ,Total,2010,30.5
KGZ,Total,2011,30.9
KGZ,Total,2012,31.2
KGZ,Total,2013,30.8
KGZ,Total,2014,31
KGZ,Total,2015,31.4
KGZ,Total,2016,30.8
KGZ,Total,2017,29.9
KGZ,Total,2018,29.5
KGZ,Total,2019,29.6
LAO,Total,2010,10.7
LAO,Total,2017,12.4
LVA,Total,2010,21.3
LVA,Total,2011,22.1
LVA,Total,2012,29.3
LVA,Total,2013,30.4
LVA,Total,2014,31
LVA,Total,2015,32
LVA,Total,2016,31.8
LVA,Total,2017,33.6
LVA,Total,2018,34.1
LVA,Total,2019,34
LBN,Total,2019,35.1
LBN,Total,2010,63.7
LSO,Total,2013,14.5
LSO,Total,2019,17.3
LBR,Total,2010,31.1
LBR,Total,2014,31.6
LBR,Total,2016,28
LBR,Total,2017,28.9
LBY,Total,2012,21.5
LTU,Total,2010,21.5
LTU,Total,2011,22.7
LTU,Total,2012,28.1
LTU,Total,2013,28.3
LTU,Total,2014,28.7
LTU,Total,2015,28
LTU,Total,2016,28.5
LTU,Total,2017,34.8
LTU,Total,2018,35.5
LTU,Total,2019,31.9
LUX,Total,2010,39.8
LUX,Total,2011,40.4
LUX,Total,2012,33.1
LUX,Total,2013,26.2
LUX,Total,2014,27.3
LUX,Total,2015,27.6
LUX,Total,2016,25.5
LUX,Total,2017,30.1
LUX,Total,2018,32
LUX,Total,2019,33
MAC,Total,2010,44.5
MAC,Total,2011,46
MAC,Total,2012,45.6
MAC,Total,2013,44.9
MAC,Total,2014,44.3
MAC,Total,2015,43.6
MAC,Total,2016,43
MDG,Total,2012,12.2
MDG,Total,2015,9.4
MWI,Total,2011,6.2
MWI,Total,2013,6.1
MWI,Total,2017,7.5
MYS,Total,2011,14.6
MYS,Total,2012,14.5
MYS,Total,2013,14.4
MYS,Total,2014,14.3
MYS,Total,2015,14.1
MYS,Total,2016,13.8
MYS,Total,2017,13.5
MYS,Total,2018,13
MYS,Total,2019,13.4
MDV,Total,2010,23
MDV,Total,2014,25.9
MDV,Total,2016,34
MDV,Total,2019,33.8
MLI,Total,2010,11.1
MLI,Total,2013,13.7
MLI,Total,2014,12.5
MLI,Total,2015,12.1
MLI,Total,2016,12.8
MLI,Total,2017,11.7
MLI,Total,2018,12.9
MLT,Total,2010,40.6
MLT,Total,2011,41.6
MLT,Total,2012,42.8
MLT,Total,2013,44.1
MLT,Total,2014,44.6
MLT,Total,2015,44.3
MLT,Total,2016,44.7
MLT,Total,2017,44.3
MLT,Total,2018,44.2
MLT,Total,2019,43.4
MRT,Total,2012,12.7
MRT,Total,2017,14.5
MRT,Total,2019,13.9
MUS,Total,2010,30
MUS,Total,2011,29.7
MUS,Total,2012,29.8
MUS,Total,2013,30.8
MUS,Total,2014,30.8
MUS,Total,2015,30.8
MUS,Total,2016,31.2
MUS,Total,2017,31.3
MUS,Total,2018,31
MUS,Total,2019,31
MEX,Total,2010,35.4
MEX,Total,2011,36.1
MEX,Total,2012,36.6
MEX,Total,2013,36.7
MEX,Total,2014,36.4
MEX,Total,2015,36.5
MEX,Total,2016,36.9
MEX,Total,2017,37.2
MEX,Total,2018,37.4
MEX,Total,2019,37.3
MNG,Total,2010,27.1
MNG,Total,2011,30.2
