year,geo,value
2012,HUN,71
2014,HUN,61
2016,HUN,47
2018,HUN,56
2020,HUN,60
2022,HUN,62
2000,IND,15
2006,IND,14
2008,IND,19
2011,IND,16
2012,IND,16
2014,IND,18
2015,IND,17
2016,IND,26
2017,IND,19
2018,IND,15
2019,IND,16
2020,IND,16
2021,IND,15
2022,IND,12
2023,IND,9.2
2004,IRL,178
2006,IRL,166
2008,IRL,166
2010,IRL,432
2012,IRL,104
2014,IRL,104
2016,IRL,112
2018,IRL,129
2020,IRL,176
2022,IRL,129
2008,IRQ,1149
2010,IRQ,200
2012,IRQ,28
2014,IRQ,511
2015,IRQ,182
2016,IRQ,201
2017,IRQ,228
2018,IRQ,191
2019,IRQ,158
2020,IRQ,194
2021,IRQ,139
2022,IRQ,128
2023,IRQ,125
2004,ISL,29
2008,ISL,285
2010,ISL,26
2012,ISL,51
2014,ISL,111
2016,ISL,143
2018,ISL,92
2020,ISL,113
2022,ISL,147
2007,ISR,42
2008,ISR,45
2009,ISR,42
2010,ISR,42
2011,ISR,43
2012,ISR,47
2013,ISR,45
2014,ISR,42
2015,ISR,39
2016,ISR,36
2017,ISR,38
2018,ISR,38
2019,ISR,40
2020,ISR,39
2021,ISR,41
2022,ISR,43
2023,ISR,39
2004,ITA,106
2006,ITA,128
2008,ITA,117
2010,ITA,143
2012,ITA,149
2014,ITA,147
2016,ITA,161
2018,ITA,169
2020,ITA,168
2022,ITA,171
2000,JAM,26
2001,JAM,26
2002,JAM,26
2003,JAM,27
2004,JAM,27
2005,JAM,27
2006,JAM,27
2003,JOR,7.8
2004,JOR,18
2005,JOR,8.4
2008,JOR,0.54
2009,JOR,6.6
2010,JOR,12
2011,JOR,0.61
2013,JOR,17
2016,JOR,16
2017,JOR,16
2018,JOR,16
2019,JOR,16
2020,JOR,15
2021,JOR,15
2004,KAZ,0.0023
2005,KAZ,0.0010
2006,KAZ,0.0061
2007,KAZ,0.0062
2008,KAZ,0.0036
2009,KAZ,0.0073
2010,KAZ,0.0056
2011,KAZ,0.0041
2012,KAZ,0.0049
2013,KAZ,0.0046
2014,KAZ,0.0053
2015,KAZ,0.0072
2016,KAZ,0.012
2017,KAZ,0.015
2018,KAZ,0.013
2019,KAZ,0.011
2020,KAZ,0.014
2021,KAZ,0.047
2022,KAZ,0.043
2023,KAZ,0.046
2017,KEN,128
2000,KGZ,0.080
2001,KGZ,0.081
2002,KGZ,0.079
2003,KGZ,0.080
2004,KGZ,0.081
2005,KGZ,0.085
2006,KGZ,0.091
2007,KGZ,0.10
2008,KGZ,0.10
2009,KGZ,0.095
2010,KGZ,0.095
2011,KGZ,0.055
2012,KGZ,0.12
2013,KGZ,0.073
2014,KGZ,0.058
2015,KGZ,0.057
2016,KGZ,0.049
2017,KGZ,0.049
2007,KOR,72
2008,KOR,72
2009,KOR,68
2010,KOR,71
2011,KOR,74
2012,KOR,92
2013,KOR,90
2014,KOR,95
2015,KOR,96
2016,KOR,98
2017,KOR,106
2018,KOR,109
2019,KOR,110
2020,KOR,108
2021,KOR,115
2022,KOR,119
2001,LBN,4.1
2002,LBN,4.4
2006,LIE,0.33
2007,LIE,0.076
2008,LIE,0.46
2009,LIE,0.44
2010,LIE,0.13
2011,LIE,0.21
2012,LIE,0.26
2013,LIE,0.26
2014,LIE,0.32
2015,LIE,0.48
2016,LIE,0.43
2017,LIE,0.41
2018,LIE,0.34
2019,LIE,0.50
2020,LIE,0.52
2021,LIE,0.45
2022,LIE,0.53
2023,LIE,0.44
2012,LSO,2712
2013,LSO,248
2014,LSO,292
2015,LSO,239
2016,LSO,165
2017,LSO,246
2018,LSO,376
2019,LSO,783
2004,LTU,27
2006,LTU,29
2008,LTU,36
2010,LTU,34
2012,LTU,46
2014,LTU,56
2016,LTU,61
2018,LTU,68
2020,LTU,92
2022,LTU,85
2004,LUX,270
2006,LUX,495
2008,LUX,407
2010,LUX,750
2012,LUX,593
2014,LUX,426
2016,LUX,613
2018,LUX,708
2020,LUX,397
2022,LUX,722
2004,LVA,7.0
2006,LVA,29
2008,LVA,31
2010,LVA,32
2012,LVA,47
2014,LVA,52
2016,LVA,34
2018,LVA,40
2020,LVA,74
2022,LVA,31
2000,MAC,300
2001,MAC,285
2002,MAC,256
2003,MAC,265
2004,MAC,242
2005,MAC,234
2006,MAC,232
2007,MAC,220
2008,MAC,119
2009,MAC,122
2010,MAC,121
2011,MAC,126
2012,MAC,142
2013,MAC,137
2014,MAC,126
2015,MAC,132
2016,MAC,117
2017,MAC,116
2018,MAC,128
2019,MAC,118
2020,MAC,84
2021,MAC,36
2022,MAC,17
2023,MAC,61
2000,MAR,24
2008,MAR,12
2013,MAR,12
2000,MCO,11
2001,MCO,9.3
2002,MCO,5.7
2003,MCO,4.1
2004,MCO,5.0
2005,MCO,7.0
2006,MCO,7.0
2007,MCO,5.5
2008,MCO,4.7
2009,MCO,8.1
2013,MCO,12
2014,MCO,12
2015,MCO,12
2016,MCO,0.37
2017,MCO,0.39
2018,MCO,0.38
2019,MCO,0.31
2020,MCO,0.17
2021,MCO,0.33
2022,MCO,0.50
2023,MCO,0.86
2000,MDA,146
2001,MDA,183
2002,MDA,181
2003,MDA,114
2004,MDA,210
2005,MDA,230
2006,MDA,230
2007,MDA,149
2008,MDA,256
2009,MDA,219
2010,MDA,404
2011,MDA,115
2012,MDA,90
2013,MDA,82
2014,MDA,265
2015,MDA,45
2016,MDA,53
2017,MDA,37
2018,MDA,29
2019,MDA,36
2020,MDA,75
2021,MDA,60
2002,MDG,921
2007,MDG,44
2009,MEX,15
2011,MEX,17
2012,MEX,17
2013,MEX,17
2014,MEX,18
2015,MEX,19
2016,MEX,20
2017,MEX,20
2018,MEX,21
2019,MEX,22
2020,MEX,31
2021,MEX,33
2022,MEX,33
2023,MEX,34
2008,MKD,3.0
2010,MKD,73
2012,MKD,329
2014,MKD,20
2016,MKD,28
2018,MKD,10
2020,MKD,202
2022,MKD,224
2004,MLT,110
2006,MLT,126
2008,MLT,135
2010,MLT,60
2012,MLT,91
2014,MLT,85
2016,MLT,296
2018,MLT,68
2020,MLT,81
2022,MLT,84
2012,MMR,17610
2013,MMR,20856
2014,MMR,17297
2015,MMR,14231
2016,MMR,9716
2017,MMR,6619
2018,MMR,6617
2019,MMR,6597
2020,MMR,6553
2021,MMR,6101
2012,MNE,337
2014,MNE,436
2016,MNE,524
2018,MNE,546
2020,MNE,553
2022,MNE,477
2020,MNG,0.70
2021,MNG,1.5
2022,MNG,0.60
2023,MNG,0.79
2006,MTQ,3.9
2007,MTQ,8.5
2008,MTQ,12
2009,MTQ,11
