year,geo,value,projections,benchmark_low,benchmark_mid,benchmark_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,KHM,50.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,KHM,46.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,KHM,54.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,KHM,38.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,KHM,44.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,KHM,46.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,KHM,42.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,KHM,43.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,CAN,19.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,CAN,19.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,CAN,18.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,CAN,18.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,CAN,16.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,CAN,16.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,CAN,15.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CAN,16.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,CAN,15.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,CAN,13.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,CAN,14.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,CAN,12.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,CAN,10.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,CAN,10.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,CAN,10.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,CAN,9.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,CAN,9.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,CAN,9.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,CAN,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,CAN,7.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,CAN,6.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,CAN,5.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,CAN,4.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,CAN,3.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,CHL,22.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,CHL,14.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,CHL,15.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,CHL,13.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,CHL,18.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,CHL,16.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,CHL,21.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CHL,25.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,CHL,26.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,CHL,26.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,CHL,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,CHL,34.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,CHL,40.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,CHL,45.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,CHL,40.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,CHL,39.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,CHL,43.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,CHL,39.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,CHL,38.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,CHL,36.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,CHL,34.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,CHL,34.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,CHL,23.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,CHL,16.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,CHN,78.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,CHN,76.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,CHN,77.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,CHN,79.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,CHN,78.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,CHN,79.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,CHN,80.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CHN,81.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,CHN,77.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,CHN,78.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,CHN,76.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,CHN,78.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,CHN,75.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,CHN,75.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,CHN,72.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,CHN,69.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,CHN,67.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,CHN,67.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,CHN,66.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,CHN,64.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,CHN,63.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,CHN,62.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,CHN,61.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,CHN,60.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,COL,4.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,COL,5.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,COL,4.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,COL,6.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,COL,3.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,COL,4.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,COL,5.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,COL,6.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,COL,5.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,COL,7.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,COL,6.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,COL,3.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,COL,5.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,COL,8.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,COL,7.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,COL,9.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,COL,8.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,COL,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,COL,5.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,COL,10.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,COL,12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,COL,5.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,COL,5.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,COL,9.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,HRV,13.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,HRV,12.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,HRV,16.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,HRV,18.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,HRV,15.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,HRV,17.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,HRV,17.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,HRV,19.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,HRV,19.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,HRV,12.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,HRV,16.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,HRV,23.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,HRV,21.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,HRV,17.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,HRV,17.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,HRV,20.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,HRV,20.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,HRV,11.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,HRV,10.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,HRV,13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,HRV,9.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,HRV,9.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,HRV,11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,HRV,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,CZE,72.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,CZE,70.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,CZE,65.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,CZE,61.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,CZE,60.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,CZE,60.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,CZE,59.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CZE,61.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,CZE,58.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,CZE,56.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,CZE,55.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,CZE,53.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,CZE,50.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,CZE,47.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,CZE,47.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,CZE,49.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,CZE,51.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,CZE,48.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,CZE,47.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,CZE,43.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,CZE,38.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,CZE,40.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,CZE,44.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,CZE,40.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,DNK,46.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,DNK,47.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,DNK,46.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,DNK,55.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,DNK,46.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,DNK,42.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,DNK,54.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,DNK,50.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,DNK,47.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,DNK,48.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,DNK,43.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,DNK,39.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,DNK,34.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DNK,41.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,DNK,34.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,DNK,24.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,DNK,29.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,DNK,20.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,DNK,21.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,DNK,11.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,DNK,10.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,DNK,13.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,DNK,12.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,DNK,7.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,DOM,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,DOM,4.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,DOM,9.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,DOM,11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,DOM,10.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,DOM,13.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,DOM,14.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,DOM,14.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,DOM,14.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,DOM,12.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,DOM,12.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,DOM,12.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DOM,12.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,DOM,14.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,DOM,12.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,DOM,12.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,DOM,12.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,DOM,11.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,DOM,12.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,DOM,15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,DOM,28.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,DOM,28.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,EST,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,EST,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,EST,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,SWZ,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,SWZ,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,SWZ,2.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,SWZ,3.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,SWZ,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,SWZ,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,SWZ,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,SWZ,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,SWZ,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,SWZ,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,SWZ,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,SWZ,1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,SWZ,3.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,SWZ,3.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,SWZ,4.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,SWZ,5.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,SWZ,8.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,SWZ,4.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,SWZ,4.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,SWZ,8.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,SWZ,7.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,SWZ,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,SWZ,6.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,FIN,12.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,FIN,14.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,FIN,17.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,FIN,22.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,FIN,19.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,FIN,9.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,FIN,19.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,FIN,17.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,FIN,11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,FIN,15.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,FIN,18.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,FIN,13.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,FIN,10.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,FIN,15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,FIN,11.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,FIN,7.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,FIN,10.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,FIN,8.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,FIN,8.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,FIN,6.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,FIN,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,FIN,3.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,FIN,4.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,FIN,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,FRA,5.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,FRA,3.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,FRA,4.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,FRA,4.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,FRA,4.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,FRA,4.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,FRA,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,FRA,4.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,FRA,4.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,FRA,4.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,FRA,4.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,FRA,3.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,FRA,3.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,FRA,4.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,FRA,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,FRA,2.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,FRA,1.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,FRA,2.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,FRA,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,FRA,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,FRA,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,FRA,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,FRA,0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,FRA,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,GEO,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,GEO,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,GEO,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,DEU,52.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,DEU,50.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,DEU,51.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,DEU,50.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,DEU,49.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,DEU,47.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,DEU,45.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,DEU,47.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,DEU,43.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
