year,geo,value
2020,CIV,7.3044
2004,HRV,
2005,HRV,63.5166
2006,HRV,72.4512
2007,HRV,82.1313
2008,HRV,91.7445
2009,HRV,99.0082
2010,HRV,104.457
2011,HRV,109.794
2012,HRV,112.868
2013,HRV,113.904
2014,HRV,116.768
2015,HRV,122.983
2016,HRV,127.41
2017,HRV,140.01
2018,HRV,147.312
2019,HRV,156.798
2020,HRV,141.557
2004,CYP,55.4213
2005,CYP,57.167
2006,CYP,64.4601
2007,CYP,63.4783
2008,CYP,66.1876
2009,CYP,69.8587
2010,CYP,71.7596
2011,CYP,69.9262
2012,CYP,63.887
2013,CYP,52.8987
2014,CYP,53.3501
2015,CYP,51.2006
2016,CYP,50.0645
2017,CYP,48.5187
2018,CYP,42.1378
2019,CYP,40.7682
2020,CYP,40.7063
2004,CZE,31.7282
2005,CZE,34.5127
2006,CZE,37.5278
2007,CZE,38.1008
2008,CZE,38.2708
2009,CZE,39.8855
2010,CZE,41.6579
2011,CZE,43.7859
2012,CZE,45.7037
2013,CZE,49.0464
2014,CZE,49.5883
2015,CZE,50.8595
2016,CZE,52.6363
2017,CZE,55.642
2018,CZE,57.1041
2019,CZE,57.9835
2020,CZE,57.1715
2004,DNK,67.0234
2005,DNK,68.1351
2006,DNK,69.8902
2007,DNK,70.3923
2008,DNK,68.73
2009,DNK,65.1774
2010,DNK,63.1386
2011,DNK,61.0472
2012,DNK,58.7084
2013,DNK,56.1321
2014,DNK,53.9912
2015,DNK,51.8175
2016,DNK,49.6513
2017,DNK,49.1667
2018,DNK,46.8172
2019,DNK,44.8074
2020,DNK,42.565
2004,DJI,0.84411
2005,DJI,0.822044
2006,DJI,0.994932
2007,DJI,0.964534
2008,DJI,1.12293
2009,DJI,2.18003
2010,DJI,2.82389
2011,DJI,3.10332
2012,DJI,4.04421
2013,DJI,5.10827
2014,DJI,6.92911
2015,DJI,8.35041
2016,DJI,9.57837
2017,DJI,12.1021
2018,DJI,13.1787
2019,DJI,12.3326
2020,DJI,16.2313
2004,DMA,19.9663
2005,DMA,21.705
2006,DMA,21.6498
2007,DMA,18.0052
2008,DMA,21.5685
2009,DMA,35.8693
2010,DMA,30.3988
2011,DMA,46.3121
2012,DMA,46.1025
2013,DMA,49.4047
2014,DMA,47.3929
2015,DMA,41.9059
2016,DMA,39.9517
2017,DMA,36.2795
2018,DMA,36.1913
2019,DMA,34.2771
2020,DMA,34.2771
2004,DOM,19.2664
2005,DOM,24.2985
2006,DOM,24.7366
2007,DOM,26.4713
2008,DOM,26.9865
2009,DOM,27.8439
2010,DOM,28.7332
2011,DOM,30.2644
2012,DOM,31.4807
2013,DOM,33.3156
2014,DOM,34.2233
2015,DOM,36.5829
2016,DOM,38.3265
2017,DOM,39.3738
2018,DOM,36.8828
2019,DOM,40.7299
2020,DOM,40.3999
2004,ECU,8.18724
2005,ECU,8.05865
2006,ECU,13.6113
2007,ECU,34.8292
2008,ECU,34.1343
2009,ECU,43.2072
2010,ECU,44.6674
2011,ECU,26.2135
2012,ECU,27.5332
2013,ECU,29.0802
2014,ECU,32.207
2015,ECU,33.6058
2016,ECU,34.0137
2017,ECU,33.5558
2018,ECU,34.9305
2019,ECU,36.8393
2020,ECU,0
2004,EGY,2.64575
2005,EGY,3.34248
2006,EGY,4.43592
2007,EGY,5.42484
2008,EGY,6.47509
2009,EGY,7.6897
2010,EGY,8.6371
2011,EGY,9.22316
2012,EGY,10.3153
2013,EGY,10.9438
2014,EGY,12.0614
2015,EGY,13.6958
2016,EGY,15.6885
2017,EGY,17.7067
2018,EGY,18.7238
2019,EGY,20.0702
2020,EGY,22.061
2004,SLV,20.4481
2005,SLV,22.723
2006,SLV,23.9185
2007,SLV,25.3462
2008,SLV,27.8601
2009,SLV,29.1682
2010,SLV,29.2625
2011,SLV,29.2784
2012,SLV,30.5736
2013,SLV,33.3407
2014,SLV,33.3783
2015,SLV,35.7571
2016,SLV,36.6126
2017,SLV,37.2395
2018,SLV,35.2451
2019,SLV,35.6763
2020,SLV,36.2912
2004,GNQ,0
2005,GNQ,0
2006,GNQ,0
2007,GNQ,0.799004
2008,GNQ,2.47015
2009,GNQ,2.35162
2010,GNQ,2.92944
2011,GNQ,5.4248
2012,GNQ,6.11382
2013,GNQ,5.23796
2014,GNQ,5.4374
2015,GNQ,7.39692
2016,GNQ,9.2091
2017,GNQ,10.2341
2018,GNQ,10.448
2019,GNQ,10.879
2020,GNQ,12.6272
